P1929,Ninguno,Preescolar o Basica Primaria,Secundaria,Media o Superior
Es muy costoso,0.11524,0.19778,0.33333,0.39304
No lo considera necesario,0.18627,0.29240,0.32448,0.34908
No sabe usarlo,0.63752,0.45712,0.25924,0.17132
No hay cobertura del servicio en la zona,0.04025,0.04302,0.05924,0.05287
No le tienen permitido usar internet,0.00197,0.00139,0.00306,0.00589
Por razones de seguridad o privacidad,0.00037,0.00116,0.00171,0.00572
Otra,0.01838,0.00713,0.01894,0.02208
