,Antioquia,Bogotá,Caribe,Central,Oriental,Orinoquía - amazonía,Pacifica,San Andrés,Valle del Cauca
Obtener información,0.49175,0.69808,0.38705,0.53732,0.52391,0.46181,0.48378,0.49441,0.53571
Enviar o recibir correos electronicos,0.52879,0.68772,0.39088,0.42998,0.40706,0.33304,0.28239,0.53087,0.45218
Redes sociales,0.87013,0.77935,0.80191,0.85931,0.81955,0.83024,0.83637,0.93313,0.84122
Comprar/ordenar productos o servicios,0.16286,0.25738,0.06787,0.10843,0.07787,0.08409,0.05550,0.13126,0.11193
Banca electrónica y otros servicios financieros,0.17012,0.29645,0.08360,0.11290,0.10929,0.07795,0.05564,0.18041,0.12504
Educación y aprendizaje,0.25197,0.34989,0.35585,0.29231,0.31630,0.29959,0.32301,0.17021,0.27565
"Trámites con entidades del gobierno (nacional, departamental o municipal)",0.07935,0.14204,0.04416,0.06841,0.04817,0.05243,0.04705,0.06306,0.06243
"Descargar software, imágenes, juegos, música o jugar en línea",0.20359,0.22801,0.15740,0.18565,0.16378,0.10982,0.14431,0.32368,0.17976
"Consulta de medios de comunicación (televisión, radio, periódicos, revistas, medios digitales, etc)",0.20631,0.27139,0.13122,0.14609,0.13544,0.06658,0.10778,0.07137,0.14754
"Televisión, videos, películas u otro contenido audiovisual para entretenimiento",0.30857,0.35473,0.24938,0.25598,0.24203,0.18245,0.23857,0.24083,0.33839
"Buscar trabajo (inscribirse en una plataforma, aplicación o convocatoria de empleo)",0.00331,0.00306,0.00210,0.00108,0.00134,0.00093,0.00084,,0.00189
"Servicios en la nube (guardar información, editar archivos, etc.)",0.06381,0.10607,0.04852,0.04573,0.05233,0.04001,0.03576,0.02161,0.04871
Vender productos o servicios,0.12884,0.16070,0.03340,0.08792,0.05461,0.03000,0.05367,0.02402,0.06087
Trabajar,0.03446,0.04039,0.01583,0.02784,0.02257,0.03181,0.02008,0.01310,0.02658
Otro,0.12840,0.25371,0.07935,0.11010,0.11309,0.08019,0.05695,0.05818,0.15230
