mes,cargo_concentracion,demanda_concentracion
2012-01-01,0.52601,0.80108
2012-02-01,0.51150,0.73677
2012-03-01,0.38483,0.70712
2012-04-01,0.39202,0.57374
2012-05-01,0.39372,0.65493
2012-06-01,0.38430,0.53807
2012-07-01,0.39492,0.62786
2012-08-01,0.40247,0.69336
2012-09-01,0.40246,0.66993
2012-10-01,0.41637,0.67815
2012-11-01,0.42478,0.72120
2012-12-01,0.43377,0.72632
2013-01-01,0.43594,0.68769
2013-02-01,0.44449,0.69414
2013-03-01,0.44835,0.73002
2013-04-01,0.45829,0.67413
2013-05-01,0.46529,0.72450
2013-06-01,0.46860,0.72580
2013-07-01,0.48131,0.68074
2013-08-01,0.48955,0.72111
2013-09-01,0.49847,0.67672
2013-10-01,0.51355,0.71483
2013-11-01,0.52141,0.67921
2013-12-01,0.53068,0.69906
2014-01-01,0.54374,0.69229
2014-02-01,0.54594,0.67920
2014-03-01,0.55719,0.72757
2014-04-01,0.55282,0.79987
2014-05-01,0.56568,0.73296
2014-06-01,0.55952,0.72281
2014-07-01,0.56725,0.76959
2014-08-01,0.57500,0.72534
2014-09-01,0.56406,0.71662
2014-10-01,0.55696,0.79746
2014-11-01,0.55561,0.71972
2014-12-01,0.55696,0.73450
2015-01-01,0.56181,0.64581
2015-02-01,0.55783,0.67616
2015-03-01,0.56344,0.62914
2015-04-01,0.55956,0.71363
2015-05-01,0.55664,0.61178
2015-06-01,0.55561,0.59808
2015-07-01,0.55283,0.62401
2015-08-01,0.55132,0.61524
2015-09-01,0.54829,0.64273
2015-10-01,0.54907,0.64561
2015-11-01,0.54585,0.62864
2015-12-01,0.55199,0.62752
2016-01-01,0.53873,0.64898
2016-02-01,0.54603,0.62972
2016-03-01,0.55489,0.62157
2016-04-01,0.55312,0.64019
2016-05-01,0.55487,0.63213
2016-06-01,0.55718,0.64795
2016-07-01,0.57297,0.63779
2016-08-01,0.55445,0.62457
2016-09-01,0.55343,0.62220
2016-10-01,0.53569,0.62305
2016-11-01,0.53475,0.66239
2016-12-01,0.53325,0.62387
2017-01-01,0.53558,0.60768
2017-02-01,0.53186,0.65324
2017-03-01,0.53486,0.65174
2017-04-01,0.53701,0.61172
2017-05-01,0.53760,0.60647
2017-06-01,0.53824,0.60575
2017-07-01,0.53924,0.59995
2017-08-01,0.53926,0.60023
2017-09-01,0.53695,0.60228
2017-10-01,0.53691,0.60286
2017-11-01,0.53667,0.60061
2017-12-01,0.53509,0.59196
2018-01-01,0.53291,0.59382
2018-02-01,0.53049,0.58800
2018-03-01,0.53074,0.58326
2018-04-01,0.53182,0.57934
2018-05-01,0.53115,0.57695
2018-06-01,0.52843,0.56942
2018-07-01,0.53008,0.56555
2018-08-01,0.52806,0.55966
2018-09-01,0.52560,0.55355
2018-10-01,0.52725,0.53774
2018-11-01,0.52369,0.53814
2018-12-01,0.52252,0.54753
2019-01-01,0.52144,0.55239
2019-02-01,0.52006,0.53746
2019-03-01,0.52115,0.56966
2019-04-01,0.52121,0.54042
2019-05-01,0.52146,0.55090
2019-06-01,0.52147,0.55993
2019-07-01,0.52366,0.57464
2019-08-01,0.52480,0.56802
2019-09-01,0.52693,0.56125
2019-10-01,0.52855,0.56759
2019-11-01,0.52793,0.56596
2019-12-01,0.52947,0.57401
2020-01-01,0.53010,0.56998
2020-02-01,0.52994,0.56062
2020-03-01,0.53025,0.55757
2020-04-01,0.53390,0.56854
2020-05-01,0.53376,0.58885
2020-06-01,0.53594,0.57464
2020-07-01,0.53554,0.56366
2020-08-01,0.53594,0.56199
2020-09-01,0.53705,0.56428
2020-10-01,0.53997,0.56544
2020-11-01,0.54030,0.56202
2020-12-01,0.54260,0.56481
2021-01-01,0.53908,0.56187
2021-02-01,0.53751,0.55982
2021-03-01,0.53641,0.56343
2021-04-01,0.53347,0.57908
2021-05-01,0.52982,0.56048
2021-06-01,0.52243,0.55671
2021-07-01,0.51710,0.55267
2021-08-01,0.51289,0.55095
2021-09-01,0.50618,0.56442
2021-10-01,0.50767,0.55217
2021-11-01,0.50593,0.54498
2021-12-01,0.50666,0.55016
2022-01-01,0.50664,0.54362
2022-02-01,0.50560,0.54535
2022-03-01,0.50505,0.53955
2022-04-01,0.50123,0.54376
2022-05-01,0.50012,0.54663
2022-06-01,0.50249,0.54815
