ANNO,TRIMESTRE,Corporativo,Residencial - Estrato 1,Residencial - Estrato 2,Residencial - Estrato 3,Residencial - Estrato 4,Residencial - Estrato 5,Residencial - Estrato 6,Sin estratificar,Uso propio interno del operador
2017,2,0.08772,0.10132,0.34719,0.28576,0.10940,0.03691,0.02696,0.00472,0.00000
2017,3,0.08728,0.09843,0.34925,0.28422,0.11214,0.03633,0.02683,0.00553,0.00000
2017,4,0.08710,0.10817,0.34073,0.28271,0.11193,0.03652,0.02669,0.00614,0.00000
2018,1,0.08523,0.09838,0.35237,0.28029,0.11294,0.03704,0.02654,0.00721,0.00000
2018,2,0.08481,0.09808,0.35496,0.27683,0.11295,0.03702,0.02646,0.00889,0.00000
2018,3,0.08482,0.09755,0.35596,0.27678,0.11448,0.03686,0.02659,0.00696,0.00000
2018,4,0.08715,0.09930,0.34889,0.27548,0.11569,0.03790,0.02764,0.00795,0.00000
2019,1,0.08314,0.10075,0.35675,0.27481,0.11652,0.03631,0.02721,0.00451,0.00000
2019,2,0.08289,0.10684,0.35356,0.27205,0.11560,0.03567,0.02636,0.00702,0.00000
2019,3,0.08310,0.10755,0.35152,0.27375,0.11622,0.03554,0.02665,0.00568,0.00000
2019,4,0.08422,0.09548,0.35268,0.28008,0.11910,0.03568,0.02693,0.00584,0.00000
2020,1,0.08249,0.09868,0.35187,0.28064,0.11794,0.03483,0.02672,0.00683,0.00000
2020,2,0.07698,0.10153,0.36142,0.27837,0.11485,0.03350,0.02568,0.00766,0.00000
2020,3,0.07238,0.10610,0.36748,0.27689,0.11141,0.03280,0.02526,0.00768,0.00000
2020,4,0.07201,0.10883,0.36626,0.27643,0.11022,0.03257,0.02536,0.00832,0.00000
2021,1,0.07057,0.11161,0.36839,0.27590,0.10752,0.03217,0.02517,0.00867,0.00000
2021,2,0.07115,0.11876,0.36419,0.27308,0.10549,0.03176,0.02493,0.01064,0.00000
2021,3,0.07086,0.11720,0.36282,0.27206,0.10498,0.03173,0.02599,0.01435,0.00000
2021,4,0.07410,0.11573,0.36066,0.27313,0.10459,0.03185,0.02548,0.01446,0.00000
2022,1,0.07463,0.11951,0.35289,0.27388,0.10580,0.03210,0.02527,0.01593,0.00000
2022,2,0.07601,0.10863,0.35224,0.28322,0.10730,0.03285,0.02501,0.01432,0.00042
