mes,COMUNICACION CELULAR S A COMCEL S A,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,COLOMBIA MOVIL  S.A ESP,PARTNERS TELECOM COLOMBIA SAS,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,AVANTEL S.A.S,ALMACENES EXITO INVERSIONES S.A.S.,AVANTEL S.A.S.,COLOMBIA MOVIL S.A. E.S.P.,COLOMBIA TELECOMUNICACIONES S.A. ESP,EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.,SETROC MOBILE GROUP SAS,UNE EPM TELECOMUNICACIONES S.A.,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,VIRGIN MOBILE COLOMBIA S.A.S.
2019-07-01,6421786,3672046,1445463,0,162654,561428,0,0,0,0,0,0,0,0,0
2019-08-01,6479372,3686665,1454749,0,162510,563044,0,0,0,0,0,0,0,0,0
2019-09-01,6540697,3708528,1456067,0,149291,558251,0,0,0,0,0,0,0,0,0
2019-10-01,6597810,3733199,1473866,0,135007,542944,0,0,0,0,0,0,0,0,0
2019-11-01,6619220,3760808,1489453,0,138568,530025,0,0,0,0,0,0,0,0,0
2019-12-01,6668308,3782061,1520682,0,122272,501093,0,0,0,0,0,0,0,0,0
2020-01-01,6714634,3808526,1524472,0,141845,477321,0,0,0,0,0,0,0,0,0
2020-02-01,6728994,3842624,1505667,0,156380,463897,0,0,0,0,0,0,0,0,0
2020-03-01,6744663,3884587,1476035,0,163133,451461,0,0,0,0,0,0,0,0,0
2020-04-01,6651785,3917157,1297232,0,151075,441641,0,0,0,0,0,0,0,0,0
2020-05-01,6705499,3951001,1324128,0,150971,431099,0,0,0,0,0,0,0,0,0
2020-06-01,6780634,3976983,1331827,0,149979,412547,0,0,0,0,0,0,0,0,0
2020-07-01,6875147,4068398,1354133,0,141237,398806,0,0,0,0,0,0,0,0,0
2020-08-01,6930727,4115459,1354635,0,140135,390857,0,0,0,0,0,0,0,0,0
2020-09-01,7058454,4177635,1368357,0,150287,388301,0,0,0,0,0,0,0,0,0
2020-10-01,7205060,4219114,1376639,0,151288,391395,0,0,0,0,0,0,0,0,0
2020-11-01,7283518,4251172,1391802,0,152171,401896,0,0,0,0,0,0,0,0,0
2020-12-01,7359734,4228027,1418520,0,147328,410262,0,0,0,0,0,0,0,0,0
2021-01-01,7359665,4281150,1448055,0,137754,425599,0,0,0,0,0,0,0,0,0
2021-02-01,7447555,4336684,1482008,0,140159,449276,0,0,0,0,0,0,0,0,0
2021-03-01,7546032,4403296,1516919,0,144301,457092,0,0,0,0,0,0,0,0,0
2021-04-01,7589234,4468840,1539493,97749,141892,388868,0,0,0,0,0,0,0,0,0
2021-05-01,7647312,4536915,1609621,199757,129334,310914,0,0,0,0,0,0,0,0,0
2021-06-01,7712047,4634231,1749647,317321,120411,228217,0,0,0,0,0,0,0,0,0
2021-07-01,7791130,4710658,1831321,454557,114421,164988,0,0,0,0,0,0,0,0,0
2021-08-01,7860175,4745637,1896034,590475,110471,122528,0,0,0,0,0,0,0,0,0
2021-09-01,7957281,4782298,2114756,680172,104944,80919,0,0,0,0,0,0,0,0,0
2021-10-01,8090044,4826635,2149526,732494,81727,55120,0,0,0,0,0,0,0,0,0
2021-11-01,8163588,4882577,2199377,762050,86504,41839,0,0,0,0,0,0,0,0,0
2021-12-01,8309469,4911628,2280162,776372,89828,33021,0,0,0,0,0,0,0,0,0
2022-01-01,8391413,4952090,2319321,784058,88372,27589,0,0,0,0,0,0,0,0,0
2022-02-01,8496799,4994079,2395621,802688,93310,23039,0,0,0,0,0,0,0,0,0
2022-03-01,8604864,5043859,2446842,833479,91015,17528,0,0,0,0,0,0,0,0,0
2022-04-01,8670140,5086668,2576173,861030,89926,13712,0,0,0,0,0,0,0,0,0
2022-05-01,8834546,5125761,2703512,899959,89526,11478,0,0,0,0,0,0,0,0,0
2022-06-01,8916431,5161435,2613606,948927,93721,10315,0,0,0,0,0,0,0,0,0
