mes,COMUNICACION CELULAR S A COMCEL S A,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,COLOMBIA MOVIL  S.A ESP,PARTNERS TELECOM COLOMBIA SAS,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,AVANTEL S.A.S,ALMACENES EXITO INVERSIONES S.A.S.,AVANTEL S.A.S.,COLOMBIA MOVIL S.A. E.S.P.,COLOMBIA TELECOMUNICACIONES S.A. ESP,EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.,SETROC MOBILE GROUP SAS,UNE EPM TELECOMUNICACIONES S.A.,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,VIRGIN MOBILE COLOMBIA S.A.S.
2012-01-01,863043,0,0,0,0,0,0,0,0,777704,0,0,0,0,0
2012-02-01,887936,0,0,0,0,0,0,0,0,848016,0,0,0,0,0
2012-03-01,923904,0,0,0,0,0,0,0,529485,907749,39647,0,0,0,0
2012-04-01,944425,0,0,0,0,0,0,0,542320,958636,0,0,0,0,0
2012-05-01,987447,0,0,0,0,0,0,0,555601,1002051,0,0,0,0,0
2012-06-01,1034836,0,0,0,0,0,0,0,583082,1039096,46886,0,0,0,0
2012-07-01,1086754,0,0,0,0,0,0,0,594383,1070668,0,0,0,0,0
2012-08-01,1148456,0,0,0,0,0,0,0,607581,1097500,0,0,0,0,0
2012-09-01,1201771,0,0,0,0,0,0,0,617594,1120197,46510,0,0,0,0
2012-10-01,1256104,0,0,0,0,0,0,0,621403,1139273,0,0,0,0,0
2012-11-01,1308455,0,0,0,0,0,0,0,616724,1155152,0,0,0,0,0
2012-12-01,1409443,0,0,0,0,0,0,0,630366,1168196,41312,0,0,0,0
2013-01-01,1527994,0,0,0,0,0,0,0,685634,1178715,0,0,0,112677,0
2013-02-01,1572114,0,0,0,0,0,0,0,660081,1186682,0,0,0,118032,0
2013-03-01,1648879,0,0,0,0,0,0,0,669569,1202860,35678,0,0,120649,0
2013-04-01,1712807,0,0,0,0,0,0,0,675083,1222027,0,0,0,127479,0
2013-05-01,1794396,0,0,0,0,0,0,0,691789,1236237,0,0,0,134060,0
2013-06-01,1860950,0,0,0,0,0,0,0,700201,1241453,29570,0,0,139113,0
2013-07-01,1946286,0,0,0,0,0,0,0,711147,1249308,0,0,0,137023,0
2013-08-01,2039899,0,0,0,0,0,0,0,718393,1265818,0,0,0,142763,0
2013-09-01,2153818,0,0,0,0,0,0,0,719706,1276991,26678,0,0,143631,0
2013-10-01,2289184,0,0,0,0,0,0,0,742207,1280378,0,0,0,145775,0
2013-11-01,2385335,0,0,0,0,0,0,0,750446,1292426,0,0,0,146548,0
2013-12-01,2567106,0,0,0,0,0,0,0,790988,1305818,23272,0,0,150189,0
2014-01-01,2697408,0,0,0,0,0,0,0,750670,1322434,0,0,0,190369,0
2014-02-01,2817380,0,0,0,0,0,0,0,815322,1336664,0,0,0,191237,0
2014-03-01,2953356,0,0,0,0,0,0,0,779507,1353477,17434,0,0,196684,0
2014-04-01,3025191,0,0,0,0,0,0,0,889836,1355561,0,0,0,201720,0
2014-05-01,3116478,0,0,0,0,0,0,0,817478,1371874,0,0,0,203459,0
2014-06-01,3190092,0,0,0,0,0,0,0,900260,1387487,17683,0,0,205979,0
2014-07-01,3247647,0,0,0,0,0,0,0,898697,1393614,0,0,0,185332,0
2014-08-01,3243676,0,0,0,0,0,0,2806,800636,1388784,0,0,0,205314,0
2014-09-01,3255105,0,0,0,0,0,0,6585,875637,1404304,16857,0,0,212370,0
2014-10-01,3265843,0,0,0,0,0,0,14756,956422,1405252,0,0,0,221463,0
2014-11-01,3281781,0,0,0,0,0,0,27850,967430,1411562,0,0,0,218025,0
2014-12-01,3381546,0,0,0,0,0,0,41048,992621,1420541,29064,0,0,206564,0
2015-01-01,3443155,0,0,0,0,0,0,54242,1000781,1432830,18477,0,0,179165,0
2015-02-01,3466100,0,0,0,0,0,0,69855,1031700,1451741,25933,0,0,168222,0
2015-03-01,3510816,0,0,0,0,0,0,85122,980981,1458092,36102,0,0,159940,0
2015-04-01,3525810,0,0,0,0,0,0,101992,998633,1474840,47005,0,0,152740,0
2015-05-01,3569596,0,0,0,0,0,0,127879,1006084,1499078,58762,0,0,151375,0
2015-06-01,3593972,0,0,0,0,0,0,149744,1011889,1501063,69932,0,0,141895,0
2015-07-01,3647754,0,0,0,0,0,0,168740,1026518,1538353,85232,0,0,131688,0
2015-08-01,3681845,0,0,0,0,0,0,177854,1011877,1578030,102509,0,0,126082,0
2015-09-01,3732389,0,0,0,0,0,0,180476,1044135,1603042,123378,0,0,123871,0
2015-10-01,3804128,0,0,0,0,0,0,185870,1035817,1650157,144066,0,0,108302,0
2015-11-01,3831440,0,0,0,0,0,0,194541,1055917,1663626,160795,0,0,112835,0
2015-12-01,4014697,0,0,0,0,0,0,202378,1061770,1721699,171371,0,0,101231,0
2016-01-01,4185190,0,0,0,0,0,0,211418,1042955,2068789,175266,0,0,84959,0
2016-02-01,4329314,0,0,0,0,0,0,222306,1024561,2099492,176546,0,0,76460,0
2016-03-01,4462082,0,0,0,0,0,0,230637,960867,2139784,183037,0,0,64907,0
2016-04-01,4569872,0,0,0,0,0,0,242789,994107,2206227,191563,0,0,57479,0
2016-05-01,4681005,0,0,0,0,0,0,252974,1004734,2245266,200073,0,0,52196,0
2016-06-01,4810745,0,0,0,0,0,0,259410,1029992,2283505,206502,0,0,43864,0
2016-07-01,4903630,0,0,0,0,0,0,266572,802539,2330244,212953,0,0,42374,0
2016-08-01,5043043,0,0,0,0,0,0,276118,1130096,2365476,239231,0,0,41536,0
2016-09-01,5114045,0,0,0,0,0,0,286137,1146431,2403957,253811,0,0,36178,0
2016-10-01,5179658,0,0,0,0,0,0,285974,1145405,2807769,232324,0,0,17932,0
2016-11-01,5219595,0,0,0,0,0,0,281062,1137257,2854675,255027,0,0,13227,0
2016-12-01,5288013,0,0,0,0,0,0,272279,1163566,2914134,269398,0,0,9162,0
2017-01-01,5322590,0,0,0,0,0,0,262679,1151499,2971383,223393,0,0,6438,0
2017-02-01,5335603,0,0,0,0,0,0,256588,1194463,3006652,232399,0,0,6172,0
2017-03-01,5400332,0,0,0,0,0,0,257738,1197135,3019370,216094,0,0,6137,0
2017-04-01,5403011,3011170,1184999,0,199365,256599,0,0,0,0,0,0,6060,0,0
2017-05-01,5459946,3020962,1206819,0,202205,260285,0,0,0,0,0,0,5980,0,0
2017-06-01,5503668,3027957,1216227,0,203324,268209,0,0,0,0,0,0,5980,0,0
2017-07-01,5547762,3031369,1234258,0,187286,281389,0,0,0,0,0,0,5978,0,0
2017-08-01,5566793,3061434,1226942,0,171926,291053,0,0,0,0,0,0,4794,0,0
2017-09-01,5582659,3093286,1243355,0,172141,303617,0,0,0,0,0,0,1939,0,0
2017-10-01,5620965,3097671,1249609,0,180010,318911,0,0,0,0,0,0,1936,0,0
2017-11-01,5640488,3086487,1255092,0,192782,335301,0,0,0,0,0,0,2,0,0
2017-12-01,5692459,3085280,1301551,0,200915,358071,0,0,0,0,0,0,0,0,0
2018-01-01,5692364,3067957,1345840,0,195943,379611,0,0,0,0,0,0,0,0,0
2018-02-01,5691790,3071871,1353065,0,213162,399501,0,0,0,0,0,0,0,0,0
2018-03-01,5725904,3070350,1350448,0,222655,419177,0,0,0,0,0,0,0,0,0
2018-04-01,5768056,3081094,1345222,0,214364,437086,0,0,0,0,0,0,0,0,0
2018-05-01,5834355,3125592,1340069,0,227965,456455,0,0,0,0,0,0,0,0,0
2018-06-01,5871496,3202980,1335067,0,228886,472865,0,0,0,0,0,0,0,0,0
2018-07-01,5917560,3229597,1328788,0,204517,483118,0,0,0,0,0,0,0,0,0
2018-08-01,5960911,3290673,1333086,0,211920,491647,0,0,0,0,0,0,0,0,0
2018-09-01,5994062,3350773,1347984,0,214112,497278,0,0,0,0,0,0,0,0,0
2018-10-01,6036813,3371766,1345363,0,187970,507765,0,0,0,0,0,0,0,0,0
2018-11-01,6013709,3412589,1362060,0,175711,519340,0,0,0,0,0,0,0,0,0
2018-12-01,6087607,3448413,1413915,0,173412,527142,0,0,0,0,0,0,0,0,0
2019-01-01,6123654,3556510,1372982,0,155690,534995,0,0,0,0,0,0,0,0,0
2019-02-01,6135682,3561306,1383125,0,174458,543344,0,0,0,0,0,0,0,0,0
2019-03-01,6192296,3576455,1384884,0,176983,551427,0,0,0,0,0,0,0,0,0
2019-04-01,6225618,3604385,1394674,0,165365,554427,0,0,0,0,0,0,0,0,0
2019-05-01,6307990,3635758,1418718,0,176145,558248,0,0,0,0,0,0,0,0,0
2019-06-01,6345913,3656119,1433408,0,174705,559213,0,0,0,0,0,0,0,0,0
