,Cabecera,Rural,Rural_menos_Cabecera
En la institución educativa,0.07142,0.08884,0.01742
En centros de acceso público gratis,0.03678,0.04782,0.01104
En centros de acceso público con costo (Café Internet),0.01880,0.02882,0.01003
Otro sitio,0.00152,0.00322,0.00171
"En la vivienda de otra persona (pariente, amigo/a, vecino/a)",0.09528,0.09672,0.00144
En desplazamiento de un sitio a otro,0.14116,0.11409,-0.02707
En el hogar,0.95715,0.84790,-0.10924
En el trabajo,0.30650,0.15016,-0.15634
