,Hombre,Mujer,Mujer_menos_Hombre
Redes sociales,0.81254,0.83351,0.02097
Educación y aprendizaje,0.31188,0.31693,0.00505
"Buscar trabajo (inscribirse en una plataforma, aplicación o convocatoria de empleo)",0.00161,0.00248,0.00086
Trabajar,0.02838,0.02605,-0.00234
"Servicios en la nube (guardar información, editar archivos, etc.)",0.06231,0.05917,-0.00315
Obtener información,0.52599,0.52159,-0.00440
Vender productos o servicios,0.08697,0.08060,-0.00638
"Trámites con entidades del gobierno (nacional, departamental o municipal)",0.07703,0.06833,-0.00870
Comprar/ordenar productos o servicios,0.13326,0.11944,-0.01382
Enviar o recibir correos electronicos,0.47814,0.46323,-0.01491
"Consulta de medios de comunicación (televisión, radio, periódicos, revistas, medios digitales, etc)",0.17642,0.16111,-0.01532
"Televisión, videos, películas u otro contenido audiovisual para entretenimiento",0.29312,0.27375,-0.01937
Banca electrónica y otros servicios financieros,0.15715,0.13416,-0.02299
Otro,0.15089,0.11854,-0.03236
"Descargar software, imágenes, juegos, música o jugar en línea",0.20319,0.16171,-0.04148
