,Hombre,Mujer,mujer_menos_hombre
Teléfono celular,0.6864600751090201,0.7085108402913048,0.02205076518228477
Computador portatil,0.18092480227226987,0.1817501158567147,0.0008253135844448201
Otro,1.3587161574151631e-05,9.174354129920608e-06,-4.412807444231024e-06
"Reproductores digitales de música, video e imagen",0.006869237625683058,0.005065665510700594,-0.0018035721149824635
Tableta,0.026635171251581442,0.02428557579750944,-0.0023495954540720017
Televisor inteligente,0.06231790937730336,0.05919613549367279,-0.003121773883630573
Computador de escritorio,0.15326362624390177,0.1492918328587978,-0.003971793385103978
Consolas para juegos electrónicos,0.011889740947684137,0.0036088903279270874,-0.00828085061975705
