P1084,Cabecera,Rural,Rural_menos_Cabecera
No utiliza internet,0.20170,0.49468,0.29298
"Al menos una vez a la semana, pero no cada día",0.13712,0.22830,0.09118
"Al menos una vez al mes, pero no cada semana",0.00942,0.02592,0.01650
"Al menos una vez al año, pero no cada mes",0.00273,0.00295,0.00023
Todos los días de la semana,0.64904,0.24815,-0.40089
