mes,cargofijo_trafico,demanda_trafico,total_trafico,cargofijo_porcentaje,demanda_porcentaje,cargofijo_por_acceso,demanda_por_acceso
2012-01-01,2383451072.00000,211012105.00000,2594463177.00000,0.91867,0.08133,1452.66215,101.45886
2012-02-01,2068031160.00000,239510463.00000,2307541623.00000,0.89621,0.10379,1191.29513,136.28806
2012-03-01,3255905704.00000,335037149.00000,3590942853.00000,0.90670,0.09330,1356.18379,138.32655
2012-04-01,3247344982.00000,392549970.00000,3639894952.00000,0.89215,0.10785,1327.95052,173.54831
2012-05-01,3447004921.00000,455021247.00000,3902026168.00000,0.88339,0.11661,1354.36968,179.59134
2012-06-01,3337245033.00000,490735721.00000,3827980754.00000,0.87180,0.12820,1234.23390,219.60108
2012-07-01,3418045514.00000,543996787.00000,3962042301.00000,0.86270,0.13730,1242.11037,181.21936
2012-08-01,3430828180.00000,607353666.00000,4038181846.00000,0.84960,0.15040,1202.30723,202.47289
2012-09-01,3483418155.00000,621138541.00000,4104556696.00000,0.84867,0.15133,1166.55531,179.82421
2012-10-01,3852744714.00000,722860340.00000,4575605054.00000,0.84202,0.15798,1277.10496,196.91166
2012-11-01,3193608106.00000,696574582.00000,3890182688.00000,0.82094,0.17906,1036.77433,189.78021
2012-12-01,3249154540.00000,733351607.00000,3982506147.00000,0.81586,0.18414,999.95000,185.13683
2013-01-01,3599519898.00000,820490929.00000,4420010827.00000,0.81437,0.18563,1026.96130,188.61227
2013-02-01,3526392066.00000,772747919.00000,4299139985.00000,0.82026,0.17974,997.02652,181.04904
2013-03-01,3856985065.00000,890690063.00000,4747675128.00000,0.81239,0.18761,1048.76777,205.28157
2013-04-01,3926456713.00000,862727818.00000,4789184531.00000,0.81986,0.18014,1050.58621,180.10132
2013-05-01,5023277312.00000,964135397.00000,5987412709.00000,0.83897,0.16103,1302.55433,199.46875
2013-06-01,4878517746.00000,978521039.00000,5857038785.00000,0.83293,0.16707,1228.44754,201.38040
2013-07-01,5043351433.00000,1056131462.00000,6099482895.00000,0.82685,0.17315,1247.19233,196.25195
2013-08-01,5490009690.00000,1167216919.00000,6657226609.00000,0.82467,0.17533,1317.53708,220.14089
2013-09-01,5350198126.00000,1129813221.00000,6480011347.00000,0.82565,0.17435,1238.23561,196.88213
2013-10-01,5594953891.00000,1270528531.00000,6865482422.00000,0.81494,0.18506,1255.16515,218.66956
2013-11-01,5620773038.00000,1197894988.00000,6818668026.00000,0.82432,0.17568,1228.65007,196.01659
2013-12-01,5836795527.00000,1229475894.00000,7066271421.00000,0.82601,0.17399,1206.60440,175.60948
2014-01-01,6397460574.00000,1266257121.00000,7663717695.00000,0.83477,0.16523,1289.58154,179.19282
2014-02-01,6163923327.00000,1218677970.00000,7382601297.00000,0.83493,0.16507,1194.41920,172.50449
2014-03-01,6884078691.00000,1462966727.00000,8347045418.00000,0.82473,0.17527,1298.77054,183.88936
2014-04-01,6909719600.00000,1515481491.00000,8425201091.00000,0.82013,0.17987,1262.67008,179.27988
2014-05-01,7555565921.00000,1661341719.00000,9216907640.00000,0.81975,0.18025,1371.42305,169.89629
2014-06-01,7946084441.00000,1761002647.00000,9707087088.00000,0.81859,0.18141,1393.68290,176.89903
2014-07-01,8061009532.00000,2067340926.00000,10128350458.00000,0.79589,0.20411,1407.96528,207.01592
2014-08-01,7837215924.00000,2148852773.00000,9986068697.00000,0.78481,0.21519,1389.27776,197.26731
2014-09-01,8385480966.00000,2269604027.00000,10655084993.00000,0.78699,0.21301,1453.07352,203.95202
2014-10-01,9532347764.00000,3095089208.00000,12627436972.00000,0.75489,0.24511,1625.64409,298.66580
2014-11-01,8918221918.00000,2504554025.00000,11422775943.00000,0.78074,0.21926,1509.86176,220.54859
2014-12-01,9175464086.00000,2960071836.00000,12135535922.00000,0.75608,0.24392,1511.26400,244.47943
2015-01-01,10396557621.00000,3086765568.00000,13483323189.00000,0.77107,0.22893,1696.38625,291.86088
2015-02-01,10191750154.00000,2835423958.00000,13027174112.00000,0.78235,0.21765,1640.24567,377.79988
2015-03-01,11675872873.00000,3389371441.00000,15065244314.00000,0.77502,0.22498,1873.82018,335.07533
2015-04-01,11764521276.00000,3245990361.00000,15010511637.00000,0.78375,0.21625,1867.08204,336.69546
2015-05-01,12172827743.00000,3086183924.00000,15259011667.00000,0.79775,0.20225,1898.21562,285.69595
2015-06-01,12268265384.00000,2968040869.00000,15236306253.00000,0.80520,0.19480,1896.61821,268.32132
2015-07-01,13126920155.00000,3073205508.00000,16200125663.00000,0.81030,0.18970,1989.44425,248.43984
2015-08-01,13206296494.00000,3014114373.00000,16220410867.00000,0.81418,0.18582,1977.52425,243.73294
2015-09-01,12656778183.00000,3163136593.00000,15819914776.00000,0.80005,0.19995,1859.29736,264.74517
2015-10-01,14604154673.00000,4510502189.00000,19114656862.00000,0.76403,0.23597,2107.88655,329.03634
2015-11-01,14514680301.00000,3934756575.00000,18449436876.00000,0.78673,0.21327,2067.86748,299.80893
2015-12-01,15618833290.00000,4337012530.00000,19955845820.00000,0.78267,0.21733,2147.46594,313.39923
2016-01-01,13754240793.00000,4345596947.00000,18099837740.00000,0.75991,0.24009,1770.49681,333.91177
2016-02-01,13402379114.00000,4032301144.00000,17434680258.00000,0.76872,0.23128,1690.36722,321.51776
2016-03-01,14953274348.00000,4617764858.00000,19571039206.00000,0.76405,0.23595,1859.55608,357.01304
2016-04-01,15120667039.00000,4360735546.00000,19481402585.00000,0.77616,0.22384,1830.13790,356.88785
2016-05-01,16441364818.00000,4959403297.00000,21400768115.00000,0.76826,0.23174,1948.89539,404.26849
2016-06-01,16274849193.00000,4963250609.00000,21238099802.00000,0.76630,0.23370,1884.96818,407.45909
2016-07-01,16495896187.00000,5136656329.00000,21632552516.00000,0.76255,0.23745,1927.47077,405.34910
2016-08-01,16532163995.00000,4753386516.00000,21285550511.00000,0.77668,0.22332,1817.62014,378.63787
2016-09-01,16793154208.00000,4793906668.00000,21587060876.00000,0.77793,0.22207,1817.33099,409.61812
2016-10-01,18023377514.00000,4989595094.00000,23012972608.00000,0.78318,0.21682,1864.02544,394.62216
2016-11-01,17792109283.00000,5226843346.00000,23018952629.00000,0.77293,0.22707,1822.80458,441.18506
2016-12-01,19959960912.00000,5873188572.00000,25833149484.00000,0.77265,0.22735,2012.79244,425.07804
2017-01-01,20067253931.00000,6019594343.00000,26086848274.00000,0.76925,0.23075,2019.24837,473.59915
2017-02-01,18206611816.00000,5413886371.00000,23620498187.00000,0.77080,0.22920,1814.87590,452.82158
2017-03-01,20446357130.00000,5986981475.00000,26433338605.00000,0.77351,0.22649,2025.03219,485.78425
2017-04-01,19524886603.85000,5927677547.23000,25452564151.08000,0.76711,0.23289,1940.61134,454.36799
2017-05-01,21073369022.57000,6651887340.99000,27725256363.56000,0.76008,0.23992,2074.92716,500.04693
2017-06-01,21248439606.10000,6823519302.83000,28071958908.93000,0.75693,0.24307,2078.01282,504.53778
2017-07-01,22987436109.17000,7162625334.97000,30150061444.14000,0.76243,0.23757,2234.38397,522.73363
2017-08-01,22875907576.56000,7471986355.19000,30347893931.75000,0.75379,0.24621,2216.02597,544.88306
2017-09-01,23278045045.28000,7361062371.99000,30639107417.27000,0.75975,0.24025,2238.92005,538.23391
2017-10-01,24331993144.33000,7898066877.89000,32230060022.22000,0.75495,0.24505,2324.17194,565.47003
2017-11-01,24157797912.55000,8045045069.08000,32202842981.63000,0.75018,0.24982,2298.52032,568.77892
2017-12-01,25505100103.69000,8854771794.66000,34359871898.35000,0.74229,0.25771,2397.48434,583.39735
2018-01-01,25686429486.92000,9273104734.72000,34959534221.64000,0.73475,0.26525,2404.71024,622.44504
2018-02-01,23694941863.46000,8785394118.77000,32480335982.23000,0.72952,0.27048,2208.41484,616.15767
2018-03-01,26823547224.64000,10044768631.63000,36868315856.27000,0.72755,0.27245,2486.30140,680.07037
