mes,cargofijo_trafico,demanda_trafico,total_trafico,cargofijo_porcentaje,demanda_porcentaje,cargofijo_por_acceso,demanda_por_acceso
2018-04-01,25794951497.45000,9766492741.88000,35561444239.33000,0.72536,0.27464,2378.33071,674.38290
2018-05-01,28297117968.75000,10567584108.34000,38864702077.09000,0.72809,0.27191,2576.11023,721.72974
2018-06-01,29372356171.82000,10980287584.94000,40352643756.76000,0.72789,0.27211,2643.46854,761.71308
2018-07-01,31006029064.29000,12037131165.63000,43043160229.92000,0.72035,0.27965,2777.42705,837.07705
2018-08-01,31143085122.54000,12187701539.73000,43330786662.27000,0.71873,0.28127,2758.89717,856.27725
2018-09-01,30839696233.48000,12179294245.46000,43018990478.94000,0.71689,0.28311,2704.23808,838.76462
2018-10-01,33752732765.71000,13197886200.73000,46950618966.44000,0.71890,0.28110,2947.92008,915.50544
2018-11-01,35134922932.93000,12545355427.00000,47680278359.93000,0.73689,0.26311,3059.62480,857.57046
2018-12-01,38950240425.94000,14967794542.97000,53918034968.91000,0.72240,0.27760,3343.22795,953.35998
2019-01-01,39495190427.25000,8792340187.00000,48287530614.25000,0.81792,0.18208,3363.05848,573.59175
2019-02-01,36875702994.80000,7953915453.76000,44829618448.56000,0.82257,0.17743,3125.61186,538.21979
2019-03-01,42360390410.34000,8000038957.43000,50360429367.77000,0.84114,0.15886,3565.07574,490.43864
2019-04-01,41884011884.98000,8723984116.62000,50607996001.60001,0.82762,0.17238,3506.56123,575.09390
2019-05-01,47507429377.27000,9675579618.23000,57183008995.50000,0.83080,0.16920,3927.25330,632.43911
2019-06-01,49440962119.98000,9964863391.06000,59405825511.04000,0.83226,0.16774,4062.74202,639.63857
2019-07-01,50455028784.27000,10879922921.94000,61334951706.21000,0.82261,0.17739,4114.28506,668.80388
2019-08-01,52857597836.89000,11635522382.76000,64493120219.65000,0.81959,0.18041,4281.23621,721.51665
2019-09-01,52599018757.01000,11720249282.45000,64319268039.45999,0.81778,0.18222,4237.47057,711.05337
2019-10-01,56206887804.27000,12808668654.90000,69015556459.17000,0.81441,0.18559,4502.73743,750.08445
2019-11-01,55127643990.39000,12657076648.63000,67784720639.02000,0.81328,0.18672,4396.81916,738.34464
2019-12-01,59539852113.11000,14014867529.76000,73554719642.87000,0.80946,0.19054,4727.48019,766.57194
2020-01-01,60418780320.33000,13979775346.99000,74398555667.32001,0.81210,0.18790,4769.85425,774.82195
2020-02-01,57358197294.42001,13207771787.79000,70565969082.21001,0.81283,0.18717,4517.26066,759.11381
2020-03-01,64153456533.71000,13371982313.54000,77525438847.25000,0.82751,0.17249,5043.55871,784.93850
2020-04-01,64634158474.87000,12174515089.54000,76808673564.41000,0.84150,0.15850,5187.79430,839.15880
2020-05-01,65610739983.29000,14914486673.66000,80525226656.95000,0.81478,0.18522,5222.66316,905.62771
2020-06-01,66096671631.69000,14635240833.50000,80731912465.19000,0.81872,0.18128,5224.21976,875.85520
2020-07-01,76010765269.87000,12746072911.00000,88756838180.87000,0.85639,0.14361,5920.89244,763.16633
2020-08-01,78802075060.13000,12412038497.74000,91214113557.87000,0.86392,0.13608,6093.66027,748.35170
2020-09-01,78601336313.85001,11985353719.05000,90586690032.89999,0.86769,0.13231,5980.45598,695.33403
2020-10-01,84883329952.32001,14023240589.44000,98906570541.75999,0.85822,0.14178,6361.40109,789.35572
2020-11-01,88568489162.13000,14743117754.30000,103311606916.42999,0.85729,0.14271,6570.09024,826.60769
2020-12-01,98222177663.94000,18162150447.83000,116384328111.77000,0.84395,0.15605,7241.45619,958.28283
2021-01-01,100700984200.87000,19758169337.62000,120459153538.49001,0.83598,0.16402,7376.16022,1077.60537
2021-02-01,99279898122.89999,18963161238.07000,118243059360.97000,0.83963,0.16037,7165.28411,1053.27589
2021-03-01,114296537716.77000,21710629728.54000,136007167445.31000,0.84037,0.15963,8124.78409,1155.48612
2021-04-01,105586317807.42999,25972187159.69000,131558504967.12000,0.80258,0.19742,7422.02683,1373.28757
2021-05-01,118124001552.95000,33687323621.69000,151811325174.64001,0.77810,0.22190,8183.81631,1821.09568
2021-06-01,120112631367.44000,36772989533.40000,156885620900.84000,0.76561,0.23439,8136.67908,1932.73461
2021-07-01,126618004062.22000,42051528919.76000,168669532981.97998,0.75069,0.24931,8403.62207,2093.72324
2021-08-01,131321847061.27000,43060822683.96000,174382669745.23001,0.75307,0.24693,8568.94649,2127.26054
2021-09-01,139664237526.94998,43606586136.85000,183270823663.79999,0.76206,0.23794,8884.28437,2180.64768
2021-10-01,147244233984.95999,47806639176.12000,195050873161.07999,0.75490,0.24510,9239.98676,2346.94804
2021-11-01,146763291897.17999,47651491145.98000,194414783043.16000,0.75490,0.24510,9095.43153,2359.16258
2021-12-01,157586580680.41998,52030556981.65000,209617137662.07001,0.75178,0.24822,9608.65662,2412.93088
2022-01-01,161159035900.41000,52682798751.78000,213841834652.19000,0.75364,0.24636,9730.15538,2544.52434
2022-02-01,150791200283.03998,48919159993.64000,199710360276.67999,0.75505,0.24495,8972.70996,2388.96354
2022-03-01,176356079466.67999,56529780347.90000,232885859814.57999,0.75726,0.24274,10351.00096,2738.90579
2022-04-01,174084952234.76999,52997384800.63000,227082337035.39999,0.76662,0.23338,10064.08167,2635.70653
2022-05-01,196624769230.63000,60578290903.32000,257203060133.95001,0.76447,0.23553,11130.89135,2975.57630
2022-06-01,195174408906.51999,58992782319.71000,254167191226.23001,0.76790,0.23210,10999.18983,2922.17694
