,AMAZONAS,ANTIOQUIA,ARAUCA,ATLANTICO,BOGOTA,BOLIVAR,BOYACA,CALDAS,CAQUETA,CASANARE,CAUCA,CESAR,CHOCO,CORDOBA,CUNDINAMARCA,GUAINIA,GUAVIARE,HUILA,LA GUAJIRA,MAGDALENA,META,N. DE SANTANDER,NARIÑO,PUTUMAYO,QUINDIO,RISARALDA,SAN ANDRES,SANTANDER,SUCRE,TOLIMA,VALLE DEL CAUCA,VAUPES,VICHADA
En el hogar,0.69837,0.96033,0.88469,0.94203,0.98264,0.84301,0.94659,0.94588,0.90197,0.93127,0.68522,0.96931,0.74382,0.85607,0.96250,0.82722,0.86152,0.97415,0.83339,0.90693,0.96046,0.91980,0.89022,0.74684,0.93118,0.97164,0.95515,0.94270,0.92070,0.93375,0.98317,0.67635,0.88146
En el trabajo,0.26966,0.31751,0.28369,0.25840,0.37496,0.19081,0.27175,0.28588,0.26504,0.33844,0.13443,0.20425,0.15496,0.17588,0.31778,0.31800,0.26221,0.22217,0.15552,0.15218,0.26939,0.23437,0.18267,0.19925,0.27988,0.33915,0.46310,0.26843,0.15269,0.24332,0.29524,0.28837,0.29901
En la institución educativa,0.20798,0.09912,0.06795,0.03171,0.08497,0.04270,0.11813,0.12323,0.07312,0.06987,0.09092,0.06014,0.19439,0.07178,0.07149,0.17321,0.05159,0.07319,0.12114,0.02277,0.03393,0.02490,0.08568,0.11153,0.08484,0.11805,0.15116,0.04808,0.05168,0.05524,0.06497,0.32974,0.10453
En centros de acceso público gratis,0.22602,0.04259,0.06950,0.06295,0.03938,0.03339,0.01206,0.03096,0.04189,0.01410,0.02607,0.06317,0.12116,0.04578,0.00976,0.13029,0.02542,0.06655,0.02700,0.04518,0.02774,0.01422,0.05381,0.10969,0.08626,0.05468,0.36639,0.02105,0.02420,0.03656,0.03101,0.19392,0.11063
En centros de acceso público con costo (Café Internet),0.15489,0.01567,0.05070,0.00749,0.01058,0.02602,0.01700,0.00679,0.01156,0.01354,0.02177,0.01771,0.19759,0.05758,0.00779,0.02629,0.03872,0.05992,0.04956,0.02398,0.00498,0.02071,0.03588,0.09796,0.07042,0.01546,0.18900,0.01853,0.02733,0.02912,0.01369,0.05861,0.01616
"En la vivienda de otra persona (pariente, amigo/a, vecino/a)",0.05323,0.06586,0.19563,0.18849,0.08976,0.11229,0.01957,0.04217,0.06448,0.05489,0.09757,0.06773,0.19078,0.21720,0.04120,0.00972,0.05525,0.15258,0.11642,0.20926,0.02071,0.06386,0.08605,0.22619,0.12107,0.10817,0.08878,0.09055,0.11959,0.05681,0.10679,0.01913,0.02797
En desplazamiento de un sitio a otro,0.15852,0.08297,0.13899,0.15002,0.25029,0.21053,0.04383,0.08635,0.14181,0.07515,0.29256,0.06345,0.10108,0.12973,0.07449,0.11479,0.12624,0.13959,0.06878,0.03714,0.17965,0.14002,0.06423,0.10117,0.10693,0.10299,0.15664,0.04919,0.04473,0.18399,0.12507,0.02773,0.03171
Otro sitio,0.01154,0.00261,0.00145,0.00049,0.00142,0.00209,0.00023,0.00032,0.01692,0.00197,0.00013,0.00403,0.00410,0.00074,0.00198,0.01020,0.00929,0.00120,0.00190,0.00615,0.00658,0.00077,0.00154,0.00536,0.00279,0.00027,0.00715,0.00134,0.00199,0.00072,0.00009,0.00473,0.00161
