mes,cargo_fijo,demanda,total,cargo_fijo_porcentaje,demanda_porcentaje,cargo_fijo_crecimiento,demanda_crecimiento,total_crecimiento
2017-10-01,10469102,13967260,24436362,0.42842,0.57158,72105.00000,290934.00000,363039.00000
2017-11-01,10510152,14144415,24654567,0.42630,0.57370,41050.00000,177155.00000,218205.00000
2017-12-01,10638276,15177943,25816219,0.41208,0.58792,128124.00000,1033528.00000,1161652.00000
2018-01-01,10681715,14897869,25579584,0.41759,0.58241,43439.00000,-280074.00000,-236635.00000
2018-02-01,10729389,14258354,24987743,0.42939,0.57061,47674.00000,-639515.00000,-591841.00000
2018-03-01,10788534,14770190,25558724,0.42211,0.57789,59145.00000,511836.00000,570981.00000
2018-04-01,10845822,14482118,25327940,0.42822,0.57178,57288.00000,-288072.00000,-230784.00000
2018-05-01,10984436,14642024,25626460,0.42864,0.57136,138614.00000,159906.00000,298520.00000
2018-06-01,11111294,14415254,25526548,0.43528,0.56472,126858.00000,-226770.00000,-99912.00000
2018-07-01,11163580,14379956,25543536,0.43704,0.56296,52286.00000,-35298.00000,16988.00000
2018-08-01,11288237,14233359,25521596,0.44230,0.55770,124657.00000,-146597.00000,-21940.00000
2018-09-01,11404209,14520515,25924724,0.43990,0.56010,115972.00000,287156.00000,403128.00000
2018-10-01,11449677,14415956,25865633,0.44266,0.55734,45468.00000,-104559.00000,-59091.00000
2018-11-01,11483409,14628950,26112359,0.43977,0.56023,33732.00000,212994.00000,246726.00000
2018-12-01,11650489,15700045,27350534,0.42597,0.57403,167080.00000,1071095.00000,1238175.00000
2019-01-01,11743831,15328568,27072399,0.43379,0.56621,93342.00000,-371477.00000,-278135.00000
2019-02-01,11797915,14778192,26576107,0.44393,0.55607,54084.00000,-550376.00000,-496292.00000
2019-03-01,11882045,16312008,28194053,0.42144,0.57856,84130.00000,1533816.00000,1617946.00000
2019-04-01,11944469,15169669,27114138,0.44053,0.55947,62424.00000,-1142339.00000,-1079915.00000
2019-05-01,12096859,15298832,27395691,0.44156,0.55844,152390.00000,129163.00000,281553.00000
2019-06-01,12169358,15578897,27748255,0.43856,0.56144,72499.00000,280065.00000,352564.00000
2019-07-01,12263377,16267733,28531110,0.42982,0.57018,94019.00000,688836.00000,782855.00000
2019-08-01,12346340,16126478,28472818,0.43362,0.56638,82963.00000,-141255.00000,-58292.00000
2019-09-01,12412834,16482939,28895773,0.42957,0.57043,66494.00000,356461.00000,422955.00000
2019-10-01,12482826,17076302,29559128,0.42230,0.57770,69992.00000,593363.00000,663355.00000
2019-11-01,12538074,17142505,29680579,0.42243,0.57757,55248.00000,66203.00000,121451.00000
2019-12-01,12594416,18282521,30876937,0.40789,0.59211,56342.00000,1140016.00000,1196358.00000
2020-01-01,12666798,18042565,30709363,0.41247,0.58753,72382.00000,-239956.00000,-167574.00000
2020-02-01,12697562,17398935,30096497,0.42190,0.57810,30764.00000,-643630.00000,-612866.00000
2020-03-01,12719879,17035707,29755586,0.42748,0.57252,22317.00000,-363228.00000,-340911.00000
2020-04-01,12458890,14507999,26966889,0.46201,0.53799,-260989.00000,-2527708.00000,-2788697.00000
2020-05-01,12562698,16468673,29031371,0.43273,0.56727,103808.00000,1960674.00000,2064482.00000
2020-06-01,12651970,16709658,29361628,0.43090,0.56910,89272.00000,240985.00000,330257.00000
2020-07-01,12837721,16701566,29539287,0.43460,0.56540,185751.00000,-8092.00000,177659.00000
2020-08-01,12931813,16585836,29517649,0.43810,0.56190,94092.00000,-115730.00000,-21638.00000
2020-09-01,13143034,17236829,30379863,0.43262,0.56738,211221.00000,650993.00000,862214.00000
2020-10-01,13343496,17765426,31108922,0.42893,0.57107,200462.00000,528597.00000,729059.00000
2020-11-01,13480559,17835689,31316248,0.43047,0.56953,137063.00000,70263.00000,207326.00000
2020-12-01,13563871,18952808,32516679,0.41714,0.58286,83312.00000,1117119.00000,1200431.00000
2021-01-01,13652223,18335255,31987478,0.42680,0.57320,88352.00000,-617553.00000,-529201.00000
2021-02-01,13855682,18003983,31859665,0.43490,0.56510,203459.00000,-331272.00000,-127813.00000
2021-03-01,14067640,18789174,32856814,0.42815,0.57185,211958.00000,785191.00000,997149.00000
2021-04-01,14226076,18912417,33138493,0.42929,0.57071,158436.00000,123243.00000,281679.00000
2021-05-01,14433853,18498382,32932235,0.43829,0.56171,207777.00000,-414035.00000,-206258.00000
2021-06-01,14761874,19026404,33788278,0.43689,0.56311,328021.00000,528022.00000,856043.00000
2021-07-01,15067075,20084569,35151644,0.42863,0.57137,305201.00000,1058165.00000,1363366.00000
2021-08-01,15325320,20242383,35567703,0.43088,0.56912,258245.00000,157814.00000,416059.00000
2021-09-01,15720370,19997080,35717450,0.44013,0.55987,395050.00000,-245303.00000,149747.00000
2021-10-01,15935546,20369705,36305251,0.43893,0.56107,215176.00000,372625.00000,587801.00000
2021-11-01,16135935,20198477,36334412,0.44410,0.55590,200389.00000,-171228.00000,29161.00000
2021-12-01,16400480,21563219,37963699,0.43200,0.56800,264545.00000,1364742.00000,1629287.00000
2022-01-01,16562843,20704380,37267223,0.44443,0.55557,162363.00000,-858839.00000,-696476.00000
2022-02-01,16805536,20477148,37282684,0.45076,0.54924,242693.00000,-227232.00000,15461.00000
2022-03-01,17037587,20639549,37677136,0.45220,0.54780,232051.00000,162401.00000,394452.00000
2022-04-01,17297649,20107468,37405117,0.46244,0.53756,260062.00000,-532081.00000,-272019.00000
2022-05-01,17664782,20358507,38023289,0.46458,0.53542,367133.00000,251039.00000,618172.00000
2022-06-01,17744435,20187957,37932392,0.46779,0.53221,79653.00000,-170550.00000,-90897.00000
