,Hombre,Mujer,Mujer_menos_Hombre
Teléfono celular,0.95214,0.95864,0.00650
Otro,0.00002,0.00001,-0.00001
"Reproductores digitales de música, video e imagen",0.00953,0.00685,-0.00267
Tableta,0.03694,0.03286,-0.00408
Computador portatil,0.25095,0.24591,-0.00503
Televisor inteligente,0.08644,0.08009,-0.00634
Computador de escritorio,0.21258,0.20200,-0.01058
Consolas para juegos electrónicos,0.01649,0.00488,-0.01161
