ANNO,TRIMESTRE,Cable,Fiber to the antenna (FTTA),Fiber to the building o fiber to the basement (FTTB),Fiber to the cabinet (FTTC),Fiber to the home (FTTH),Fiber to the node (FTTN),Fiber to the premises,Hybrid Fiber Coaxial (HFC),Otras tecnologías de fibra (antes FTTx),Otras tecnologías fijas,Otras tecnologías inalámbricas,Satelital,WiFi,WiMAX,xDSL
2017,2,0.38656,0.00007,0.00050,0.00792,0.04149,0.00005,0.00035,0.14237,0.04068,0.00466,0.02527,0.00144,0.00331,0.00109,0.34423
2017,3,0.39049,0.00007,0.00054,0.01068,0.04576,0.00006,0.00035,0.14419,0.04356,0.00474,0.02740,0.00140,0.00357,0.00114,0.32604
2017,4,0.38467,0.00008,0.00057,0.03653,0.04802,0.00000,0.00035,0.15348,0.02608,0.00472,0.02763,0.00143,0.00402,0.00246,0.30996
2018,1,0.38484,0.00007,0.00065,0.03810,0.05293,0.00009,0.00035,0.15684,0.02907,0.00023,0.03018,0.00148,0.00427,0.00216,0.29874
2018,2,0.37292,0.00007,0.00067,0.03901,0.05697,0.00010,0.00035,0.17455,0.03016,0.00029,0.03158,0.00161,0.00501,0.00180,0.28489
2018,3,0.37325,0.00007,0.00066,0.03521,0.06152,0.00016,0.00036,0.18230,0.02962,0.00018,0.03304,0.00178,0.00560,0.00224,0.27403
2018,4,0.39307,0.00007,0.00071,0.03453,0.06508,0.00018,0.00036,0.18902,0.02903,0.00043,0.03265,0.00205,0.00534,0.00203,0.24546
2019,1,0.37947,0.00007,0.00072,0.03459,0.06833,0.00017,0.00038,0.19515,0.02883,0.00040,0.03361,0.00245,0.00551,0.00230,0.24801
2019,2,0.38083,0.00007,0.00072,0.03497,0.07493,0.00019,0.00040,0.19864,0.02830,0.00016,0.03378,0.00326,0.00626,0.00233,0.23515
2019,3,0.37962,0.00001,0.00066,0.03247,0.08503,0.00018,0.00042,0.20349,0.02857,0.00039,0.03601,0.00294,0.00663,0.00196,0.22162
2019,4,0.39470,0.00000,0.00070,0.01588,0.09226,0.00018,0.00042,0.20093,0.02877,0.00025,0.03794,0.00397,0.00652,0.00171,0.21576
2020,1,0.38812,0.00003,0.00070,0.01792,0.09813,0.00024,0.00044,0.20918,0.02807,0.00031,0.03988,0.00500,0.00827,0.00214,0.20156
2020,2,0.38749,0.00006,0.00073,0.01796,0.10507,0.00016,0.00042,0.21205,0.02787,0.00041,0.04200,0.00602,0.00863,0.00217,0.18896
2020,3,0.39234,0.00018,0.00072,0.01940,0.11261,0.00019,0.00041,0.21277,0.02751,0.00061,0.04205,0.00499,0.00894,0.00256,0.17472
2020,4,0.39436,0.00004,0.00070,0.01976,0.12070,0.00029,0.00044,0.21721,0.02826,0.00079,0.03936,0.00402,0.00882,0.00233,0.16291
2021,1,0.39375,0.00004,0.00069,0.01981,0.13268,0.00028,0.00047,0.21679,0.02776,0.00082,0.03840,0.00589,0.01042,0.00237,0.14980
2021,2,0.38857,0.00005,0.00076,0.01954,0.14934,0.00034,0.00047,0.21961,0.02729,0.00069,0.03499,0.00554,0.01137,0.00217,0.13927
2021,3,0.37959,0.00005,0.00084,0.01837,0.16873,0.00041,0.00052,0.21960,0.02755,0.00084,0.03458,0.00552,0.01099,0.00200,0.13042
2021,4,0.38102,0.00004,0.00101,0.01762,0.17456,0.00029,0.00051,0.22133,0.02746,0.00079,0.03498,0.00530,0.01187,0.00202,0.12118
2022,1,0.37862,0.00001,0.00077,0.01696,0.19569,0.00040,0.00053,0.21692,0.02917,0.00083,0.03194,0.00481,0.01230,0.00182,0.10921
2022,2,0.38283,0.00000,0.00077,0.01646,0.21600,0.00032,0.00005,0.21687,0.00422,0.02019,0.01385,0.00432,0.01281,0.00080,0.11052
