P1084,AMAZONAS,ANTIOQUIA,ARAUCA,ATLANTICO,BOGOTA,BOLIVAR,BOYACA,CALDAS,CAQUETA,CASANARE,CAUCA,CESAR,CHOCO,CORDOBA,CUNDINAMARCA,GUAINIA,GUAVIARE,HUILA,LA GUAJIRA,MAGDALENA,META,N. DE SANTANDER,NARIÑO,PUTUMAYO,QUINDIO,RISARALDA,SAN ANDRES,SANTANDER,SUCRE,TOLIMA,VALLE DEL CAUCA,VAUPES,VICHADA
Todos los días de la semana,0.12729,0.61708,0.42827,0.59137,0.71691,0.40123,0.45632,0.56698,0.41465,0.52212,0.29572,0.49291,0.21730,0.30811,0.62735,0.19733,0.41573,0.48654,0.25281,0.38431,0.68135,0.55579,0.37494,0.27255,0.63787,0.62684,0.69163,0.57457,0.29051,0.52626,0.72008,0.09194,0.09754
"Al menos una vez a la semana, pero no cada día",0.19862,0.12346,0.22417,0.16111,0.12140,0.22791,0.21411,0.14941,0.20719,0.15104,0.29127,0.13554,0.20811,0.23068,0.16066,0.11661,0.15095,0.21536,0.17114,0.20906,0.10022,0.13688,0.21264,0.22246,0.10242,0.16154,0.16173,0.16312,0.23761,0.16086,0.09850,0.10971,0.06372
"Al menos una vez al mes, pero no cada semana",0.01669,0.00845,0.01016,0.00856,0.01154,0.02400,0.01158,0.01333,0.02008,0.01350,0.02060,0.01349,0.02453,0.03396,0.00915,0.01669,0.01987,0.01042,0.01502,0.02428,0.01010,0.00830,0.01865,0.03310,0.01142,0.00847,0.01224,0.00968,0.02238,0.01421,0.00890,0.00962,0.00953
"Al menos una vez al año, pero no cada mes",0.00549,0.00088,0.00012,0.00038,0.00892,0.00101,0.00120,0.00247,0.00057,0.00083,0.00402,0.00147,0.00174,0.00423,0.00053,0.00135,0.00267,0.00184,0.00141,0.01205,0.00118,0.00121,0.00190,0.00103,0.00467,0.00067,0.00105,0.00037,0.00037,0.00067,0.00104,0.00247,0.00182
No utiliza internet,0.65191,0.25014,0.33728,0.23857,0.14124,0.34586,0.31680,0.26781,0.35751,0.31250,0.38839,0.35658,0.54832,0.42302,0.20231,0.66801,0.41078,0.28583,0.55962,0.37031,0.20715,0.29782,0.39187,0.47087,0.24362,0.20248,0.13335,0.25226,0.44913,0.29799,0.17148,0.78626,0.82739
