P1929,5-19,20-39,40-59,60-
Es muy costoso,0.30329,0.46984,0.27240,0.10340
No lo considera necesario,0.11642,0.23666,0.31700,0.29902
No sabe usarlo,0.28252,0.14678,0.34986,0.57066
No hay cobertura del servicio en la zona,0.09946,0.11050,0.04649,0.01456
No le tienen permitido usar internet,0.17241,0.00611,0.00198,0.00154
Por razones de seguridad o privacidad,0.01336,0.00478,0.00194,0.00105
Otra,0.01254,0.02532,0.01034,0.00977
