ANNO,TRIMESTRE,Cable,Fiber to the antenna (FTTA),Fiber to the building o fiber to the basement (FTTB),Fiber to the cabinet (FTTC),Fiber to the home (FTTH),Fiber to the node (FTTN),Fiber to the premises,Hybrid Fiber Coaxial (HFC),Otras tecnologías de fibra (antes FTTx),Otras tecnologías fijas,Otras tecnologías inalámbricas,Satelital,WiFi,WiMAX,xDSL
2017,2,2394196,446,3115,49037,256968,311,2185,881818,251947,28884,156500,8948,20473,6765,2132078
2017,3,2454050,446,3377,67147,287591,402,2193,906140,273742,29795,172176,8795,22460,7160,2049031
2017,4,2443787,488,3651,232051,305075,22,2198,975021,165706,29993,175512,9107,25539,15653,1969143
2018,1,2493625,437,4211,246898,342982,585,2252,1016265,188358,1501,195523,9577,27677,13999,1935702
2018,2,2453346,442,4432,256609,374772,683,2322,1148324,198442,1910,207733,10599,32970,11874,1874205
2018,3,2485851,442,4373,234509,409751,1064,2365,1214120,197255,1180,220075,11830,37274,14938,1825039
2018,4,2645952,447,4748,232430,438089,1181,2415,1272413,195432,2875,219781,13821,35942,13641,1652342
2019,1,2580753,458,4907,235219,464681,1177,2574,1327196,196088,2697,228606,16670,37492,15673,1686674
2019,2,2631925,457,4961,241713,517862,1308,2781,1372823,195611,1139,233436,22504,43288,16110,1625160
2019,3,2662282,103,4610,227740,596312,1262,2916,1427045,200332,2753,252556,20587,46527,13730,1554181
2019,4,2755969,1,4901,110856,644211,1286,2948,1403000,200894,1744,264887,27736,45543,11909,1506558
2020,1,2781027,192,4994,128386,703156,1708,3148,1498858,201134,2230,285766,35852,59285,15339,1444280
2020,2,2902494,463,5498,134494,787023,1196,3144,1588342,208736,3094,314598,45071,64654,16231,1415416
2020,3,3020440,1420,5509,149313,866939,1495,3193,1637997,211805,4697,323737,38382,68810,19708,1345076
2020,4,3089979,318,5473,154851,945721,2276,3482,1701946,221412,6171,308382,31509,69104,18274,1276444
2021,1,3200177,358,5626,160991,1078336,2299,3784,1761955,225638,6657,312129,47884,84707,19300,1217493
2021,2,3222196,385,6307,162015,1238421,2837,3882,1821067,226293,5718,290114,45974,94320,18004,1154848
2021,3,3166260,406,6972,153199,1407468,3408,4323,1831765,229801,7037,288420,46069,91649,16694,1087842
2021,4,3217665,380,8555,148803,1474124,2455,4271,1869124,231883,6704,295428,44797,100260,17050,1023375
2022,1,3235807,111,6598,144937,1672442,3389,4562,1853873,249274,7133,272968,41090,105108,15549,933367
2022,2,3247400,0,6547,139590,1832247,2706,382,1839649,35821,171238,117500,36626,108634,6774,937467
