,Antioquia,Bogotá,Caribe,Central,Oriental,Orinoquía - amazonía,Pacifica,San Andrés,Valle del Cauca
Computador de escritorio,0.20902,0.35098,0.14266,0.17802,0.18502,0.17742,0.14693,0.32857,0.18100
Computador portatil,0.24613,0.38881,0.18361,0.24044,0.21672,0.18962,0.18753,0.37822,0.23724
Tableta,0.03184,0.06749,0.02443,0.03058,0.02356,0.01062,0.02025,0.05286,0.03926
Teléfono celular,0.96017,0.93877,0.96094,0.96784,0.95252,0.94685,0.95684,0.98035,0.96276
Consolas para juegos electrónicos,0.01117,0.02586,0.00263,0.00768,0.00525,0.00170,0.00168,0.00472,0.01651
Televisor inteligente,0.10133,0.14334,0.05926,0.07811,0.04339,0.02169,0.02076,0.03424,0.12667
"Reproductores digitales de música, video e imagen",0.01074,0.02589,0.00149,0.00354,0.00240,0.00059,0.00133,0.00399,0.00680
Otro,,,,,0.00004,0.00000,0.00005,,0.00004
