P1084,5-19,20-39,40-59,60-
Todos los días de la semana,0.52155,0.69414,0.56365,0.29632
"Al menos una vez a la semana, pero no cada día",0.24633,0.13790,0.13534,0.09147
"Al menos una vez al mes, pero no cada semana",0.01812,0.01428,0.01045,0.00736
"Al menos una vez al año, pero no cada mes",0.00366,0.00272,0.00243,0.00198
No utiliza internet,0.21036,0.15096,0.28813,0.60287
