P1929,Antioquia,Bogotá,Caribe,Central,Oriental,Orinoquía - amazonía,Pacifica,San Andrés,Valle del Cauca
Es muy costoso,0.25914,0.26177,0.32199,0.21120,0.22365,0.20224,0.21503,0.14617,0.24079
No lo considera necesario,0.21696,0.27516,0.22608,0.27205,0.30166,0.25178,0.25508,0.24957,0.29195
No sabe usarlo,0.38976,0.37577,0.33602,0.41920,0.39484,0.29089,0.40280,0.47701,0.38651
No hay cobertura del servicio en la zona,0.05074,0.02498,0.07032,0.03944,0.02924,0.19863,0.09164,0.00164,0.00574
No le tienen permitido usar internet,0.04690,0.03555,0.03158,0.04365,0.03781,0.04942,0.02926,0.11475,0.03629
Por razones de seguridad o privacidad,0.00461,0.01685,0.00297,0.00430,0.00376,0.00232,0.00271,0.00267,0.00226
Otra,0.03189,0.00992,0.01103,0.01015,0.00905,0.00472,0.00347,0.00820,0.03645
