ANNO,TRIMESTRE,ACCESOS
2017,2,6193671
2017,3,6284505
2017,4,6352946
2018,1,6479592
2018,2,6578663
2018,3,6660066
2018,4,6731509
2019,1,6800865
2019,2,6911078
2019,3,7012936
2019,4,6982443
2020,1,7165355
2020,2,7490454
2020,3,7698521
2020,4,7835342
2021,1,8127334
2021,2,8292381
2021,3,8341313
2021,4,8444874
2022,1,8546208
2022,2,8482581
