P1929,Hombre,Mujer,mujer_menos_hombre
No sabe usarlo,0.35611343292441144,0.39045295320463036,0.034339520280218916
Es muy costoso,0.2573059170801466,0.25931773241947537,0.0020118153393287597
Por razones de seguridad o privacidad,0.004195264321344503,0.004768084073123124,0.0005728197517786216
No hay cobertura del servicio en la zona,0.059053067341148575,0.05772321457142507,-0.0013298527697235066
Otra,0.014412174147526114,0.012401114651476019,-0.002011059496050096
No le tienen permitido usar internet,0.03906780874984677,0.0350367328945654,-0.004031075855281369
No lo considera necesario,0.26985233543557596,0.24030016818530464,-0.029552167250271322
