P1929,Cabecera,Rural,Rural_menos_Cabecera
No hay cobertura del servicio en la zona,0.01035,0.12318,0.11283
Por razones de seguridad o privacidad,0.00633,0.00199,-0.00433
No le tienen permitido usar internet,0.04156,0.03099,-0.01057
Otra,0.01842,0.00666,-0.01176
No lo considera necesario,0.26279,0.24484,-0.01794
No sabe usarlo,0.38609,0.35582,-0.03027
Es muy costoso,0.27447,0.23651,-0.03795
