,Ninguno,Preescolar o Basica Primaria,Secundaria,Media o Superior
Computador de escritorio,0.00586,0.02121,0.04718,0.24662
Computador portatil,0.01910,0.01269,0.03142,0.30091
Tableta,0.02633,0.00586,0.00858,0.03190
Teléfono celular,0.95823,0.99222,0.98589,0.98690
Consolas para juegos electrónicos,0.00009,0.00010,0.00261,0.01103
Televisor inteligente,0.02677,0.02192,0.02982,0.11207
"Reproductores digitales de música, video e imagen",0.00167,0.00095,0.00271,0.01121
Otro,0.00048,0.00005,0.00000,0.00000
