,Hombre,Mujer,Mujer_menos_Hombre
En el hogar,0.93514,0.94371,0.00857
"En la vivienda de otra persona (pariente, amigo/a, vecino/a)",0.09534,0.09567,0.00033
Otro sitio,0.00217,0.00144,-0.00073
En centros de acceso público con costo (Café Internet),0.02144,0.01945,-0.00198
En centros de acceso público gratis,0.04057,0.03670,-0.00387
En la institución educativa,0.07841,0.07035,-0.00806
En desplazamiento de un sitio a otro,0.15293,0.12196,-0.03097
En el trabajo,0.33819,0.22908,-0.10911
