P1084,Antioquia,Bogotá,Caribe,Central,Oriental,Orinoquía - amazonía,Pacifica,San Andrés,Valle del Cauca
Todos los días de la semana,0.61708,0.71780,0.41928,0.54741,0.58610,0.35863,0.31952,0.69163,0.72008
"Al menos una vez a la semana, pero no cada día",0.12346,0.12118,0.19537,0.16723,0.15761,0.17729,0.24423,0.16173,0.09850
"Al menos una vez al mes, pero no cada semana",0.00845,0.01153,0.01980,0.01238,0.00957,0.01792,0.02030,0.01224,0.00890
"Al menos una vez al año, pero no cada mes",0.00088,0.00894,0.00278,0.00166,0.00077,0.00123,0.00275,0.00105,0.00104
No utiliza internet,0.25014,0.14055,0.36278,0.27131,0.24595,0.44493,0.41320,0.13335,0.17148
