ANNO,TRIMESTRE,Corporativo,Residencial - Estrato 1,Residencial - Estrato 2,Residencial - Estrato 3,Residencial - Estrato 4,Residencial - Estrato 5,Residencial - Estrato 6,Sin estratificar,Uso propio interno del operador
2017,2,543301,627568,2150384,1769908,677615,228633,167010,29252,0
2017,3,548500,618579,2194890,1786154,704760,228289,168601,34732,0
2017,4,553361,687170,2164659,1796065,711083,232036,169578,38994,0
2018,1,552284,637444,2283184,1816161,731824,240024,171966,46705,0
2018,2,557968,645264,2335155,1821173,743028,243523,174089,58463,0
2018,3,564914,649705,2370713,1843357,762464,245494,177098,46321,0
2018,4,586663,668447,2348570,1854413,778737,255108,186039,53532,0
2019,1,565426,685221,2426176,1868931,792458,246958,185051,30644,0
2019,2,572870,738404,2443491,1880154,798939,246541,182182,48497,0
2019,3,582782,754212,2465173,1919776,815037,249259,186881,39816,0
2019,4,588049,666655,2462577,1955641,831580,249125,188016,40800,0
2020,1,591089,707079,2521295,2010906,845055,249547,191438,48946,0
2020,2,576624,760537,2707218,2085112,860271,250953,192365,57374,0
2020,3,557203,816828,2829020,2131646,857726,252530,194450,59118,0
2020,4,564238,852702,2869772,2165894,863603,255215,198707,65211,0
2021,1,573557,907113,2994041,2242305,873832,261438,204582,70466,0
2021,2,589992,984806,3020039,2264483,874735,263371,206704,88251,0
2021,3,591077,977590,3026424,2269356,875659,264698,216818,119691,0
2021,4,625753,977291,3045757,2306577,883244,268936,215195,122121,0
2022,1,637775,1021359,3015840,2340604,904178,274351,215926,136175,0
2022,2,644795,921464,2987883,2402403,910207,278635,212165,121454,3575
