,5-19,20-39,40-59,60-
Obtener información,0.49678,0.55750,0.52247,0.45859
Enviar o recibir correos electronicos,0.35714,0.55676,0.49412,0.37473
Redes sociales,0.57597,0.94047,0.91191,0.84566
Comprar/ordenar productos o servicios,0.02280,0.18003,0.16582,0.10257
Banca electrónica y otros servicios financieros,0.01343,0.20482,0.19859,0.15087
Educación y aprendizaje,0.65888,0.22585,0.13612,0.09674
"Trámites con entidades del gobierno (nacional, departamental o municipal)",0.01091,0.09642,0.10191,0.08071
"Descargar software, imágenes, juegos, música o jugar en línea",0.19217,0.21166,0.14792,0.10337
"Consulta de medios de comunicación (televisión, radio, periódicos, revistas, medios digitales, etc)",0.07507,0.21662,0.19189,0.18734
"Televisión, videos, películas u otro contenido audiovisual para entretenimiento",0.24158,0.31800,0.27531,0.28101
"Buscar trabajo (inscribirse en una plataforma, aplicación o convocatoria de empleo)",0.00406,0.00048,0.00096,0.00604
"Servicios en la nube (guardar información, editar archivos, etc.)",0.01554,0.10433,0.05744,0.01662
Vender productos o servicios,0.03874,0.11974,0.08654,0.05650
Trabajar,0.00254,0.03847,0.03918,0.02144
Otro,0.00684,0.18956,0.20192,0.10086
