,AMAZONAS,ANTIOQUIA,ARAUCA,ATLANTICO,BOGOTA,BOLIVAR,BOYACA,CALDAS,CAQUETA,CASANARE,CAUCA,CESAR,CHOCO,CORDOBA,CUNDINAMARCA,GUAINIA,GUAVIARE,HUILA,LA GUAJIRA,MAGDALENA,META,N. DE SANTANDER,NARIÑO,PUTUMAYO,QUINDIO,RISARALDA,SAN ANDRES,SANTANDER,SUCRE,TOLIMA,VALLE DEL CAUCA,VAUPES,VICHADA
Computador de escritorio,0.27717,0.20902,0.14975,0.14603,0.35039,0.16125,0.18297,0.18076,0.14259,0.16817,0.11421,0.14276,0.26812,0.14601,0.23601,0.17435,0.12100,0.15562,0.19639,0.08291,0.14380,0.15201,0.14784,0.22160,0.21140,0.20466,0.32857,0.14828,0.13042,0.16707,0.18100,0.23020,0.14945
Computador portatil,0.15331,0.24613,0.13483,0.24934,0.38804,0.15280,0.27272,0.29397,0.13876,0.22519,0.17701,0.16366,0.25293,0.18635,0.21091,0.16234,0.17066,0.20542,0.14507,0.13612,0.18740,0.18629,0.18139,0.19318,0.25683,0.25716,0.37822,0.23350,0.14161,0.23350,0.23724,0.35001,0.20565
Tableta,0.01361,0.03184,0.00471,0.03059,0.06742,0.02374,0.01679,0.03734,0.00636,0.01341,0.01565,0.02539,0.06037,0.02022,0.02891,0.04790,0.01040,0.02040,0.02104,0.01981,0.02229,0.02141,0.01477,0.00714,0.02879,0.05182,0.05286,0.02035,0.01912,0.02361,0.03926,0.02161,0.02255
Teléfono celular,0.89458,0.96017,0.95337,0.96858,0.93875,0.96497,0.94047,0.96228,0.96882,0.96032,0.96124,0.95696,0.89511,0.96078,0.93394,0.93094,0.97134,0.96696,0.90122,0.97156,0.97359,0.96567,0.96776,0.92702,0.97197,0.97115,0.98035,0.96896,0.95518,0.96813,0.96276,0.81571,0.95452
Consolas para juegos electrónicos,0.00255,0.01117,0.00281,0.00490,0.02580,0.00249,0.00328,0.00837,0.00096,0.00155,0.00016,0.00087,0.00225,0.00132,0.00706,,0.00186,0.00572,0.00239,0.00215,0.00746,0.00231,0.00294,0.00093,0.00781,0.01021,0.00472,0.00423,0.00029,0.00846,0.01651,,0.00077
Televisor inteligente,0.00749,0.10133,0.04538,0.02913,0.14298,0.15804,0.01735,0.07547,0.03168,0.00596,0.01352,0.05786,0.02232,0.03840,0.05360,,0.01551,0.06694,0.01121,0.03411,0.07628,0.02413,0.02711,0.03014,0.08536,0.14596,0.03424,0.03717,0.03512,0.04295,0.12667,0.00198,0.00491
"Reproductores digitales de música, video e imagen",0.00026,0.01074,0.00035,0.00175,0.02582,0.00205,,0.00401,0.00179,0.00068,0.00060,0.00129,0.00071,0.00082,0.00342,,0.00091,0.00227,0.00219,0.00121,0.00609,0.00020,0.00214,0.00070,0.00490,0.00321,0.00399,0.00164,0.00052,0.00435,0.00680,0.00046,0.00070
Otro,0.00014,,,,,,,,,,,,0.00045,,,,,,,,,,,,,,,0.00018,,,0.00004,,
