,Antioquia,Bogotá,Caribe,Central,Oriental,Orinoquía - amazonía,Pacifica,San Andrés,Valle del Cauca
En el hogar,0.96033,0.98274,0.90109,0.94925,0.94901,0.85803,0.78618,0.95515,0.98317
En el trabajo,0.31751,0.37530,0.20028,0.27148,0.28195,0.28330,0.15895,0.46310,0.29524
En la institución educativa,0.09912,0.08498,0.04842,0.08856,0.05985,0.08861,0.10009,0.15116,0.06497
En centros de acceso público gratis,0.04259,0.03938,0.04760,0.05081,0.01556,0.06456,0.04949,0.36639,0.03101
En centros de acceso público con costo (Café Internet),0.01567,0.01059,0.02545,0.03167,0.01311,0.04967,0.04796,0.18900,0.01369
"En la vivienda de otra persona (pariente, amigo/a, vecino/a)",0.06586,0.08997,0.15714,0.09076,0.05146,0.12746,0.10270,0.08878,0.10679
En desplazamiento de un sitio a otro,0.08297,0.25087,0.12293,0.12939,0.08716,0.10205,0.16597,0.15664,0.12507
Otro sitio,0.00261,0.00142,0.00214,0.00193,0.00197,0.00362,0.00122,0.00715,0.00009
