P1084,Ninguno,Preescolar o Basica Primaria,Secundaria,Media o Superior
Todos los días de la semana,0.05553,0.23190,0.45262,0.75465
"Al menos una vez a la semana, pero no cada día",0.03154,0.13885,0.19836,0.12179
"Al menos una vez al mes, pero no cada semana",0.00289,0.01288,0.01934,0.01071
"Al menos una vez al año, pero no cada mes",0.00117,0.00130,0.00289,0.00325
No utiliza internet,0.90886,0.61507,0.32679,0.10961
