,Cabecera,Rural,Rural_menos_Cabecera
Educación y aprendizaje,0.31410,0.31663,0.00253
"Buscar trabajo (inscribirse en una plataforma, aplicación o convocatoria de empleo)",0.00197,0.00255,0.00058
Redes sociales,0.82637,0.80822,-0.01815
Trabajar,0.03074,0.00847,-0.02227
"Servicios en la nube (guardar información, editar archivos, etc.)",0.06753,0.02486,-0.04267
"Trámites con entidades del gobierno (nacional, departamental o municipal)",0.08172,0.02434,-0.05739
Vender productos o servicios,0.09562,0.02115,-0.07447
"Descargar software, imágenes, juegos, música o jugar en línea",0.19455,0.11390,-0.08065
"Televisión, videos, películas u otro contenido audiovisual para entretenimiento",0.30092,0.18964,-0.11128
"Consulta de medios de comunicación (televisión, radio, periódicos, revistas, medios digitales, etc)",0.18694,0.07183,-0.11511
Comprar/ordenar productos o servicios,0.14508,0.02669,-0.11839
Otro,0.15363,0.03173,-0.12190
Banca electrónica y otros servicios financieros,0.16643,0.03420,-0.13222
Obtener información,0.54702,0.40183,-0.14520
Enviar o recibir correos electronicos,0.51651,0.22933,-0.28717
