mes,COMUNICACION CELULAR S A COMCEL S A,COLOMBIA MOVIL  S.A ESP,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,VIRGIN MOBILE COLOMBIA S.A.S.,PARTNERS TELECOM COLOMBIA SAS,ALMACENES EXITO INVERSIONES S.A.S.,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,LOGISTICA FLASH COLOMBIA S.A.S,AVANTEL S.A.S,SUMA MOVIL S.A.S.,LOV TELECOMUNICACIONES SAS,SETROC MOBILE GROUP SAS,CELLVOZ COLOMBIA SERVICIOS INTEGRALES S A E S P,COLOMBIA MOVIL S.A. E.S.P.,COLOMBIA TELECOMUNICACIONES S.A. ESP,AVANTEL S.A.S.,UFF MOVIL SAS,UNE EPM TELECOMUNICACIONES S.A.,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.
2012-01-01,1666074,0,0,0,0,0,0,0,0,0,0,0,0,0,398807,0,14899,0,0,0
2012-02-01,1294793,0,0,0,0,0,0,0,0,0,0,0,0,0,448025,0,14566,0,0,0
2012-03-01,1712696,0,0,0,0,0,0,0,0,0,0,0,0,400134,292527,0,16717,0,0,0
2012-04-01,1297756,0,0,0,0,0,0,0,0,0,0,0,0,409681,537220,0,17249,0,0,0
2012-05-01,1659357,0,0,0,0,0,0,0,0,0,0,0,0,385625,470114,0,18552,0,0,0
2012-06-01,1202409,0,0,0,0,0,0,0,0,0,0,0,0,397308,617154,0,17798,0,0,0
2012-07-01,1884751,0,0,0,0,0,0,0,0,0,0,0,0,443664,654468,0,18986,0,0,0
2012-08-01,2079872,0,0,0,0,0,0,0,0,0,0,0,0,209188,690340,0,20279,0,0,0
2012-09-01,2314041,0,0,0,0,0,0,0,0,0,0,0,0,395313,724950,0,19839,0,0,0
2012-10-01,2489492,0,0,0,0,0,0,0,0,0,0,0,0,402006,758464,0,21026,0,0,0
2012-11-01,2647119,0,0,0,0,0,0,0,0,0,0,0,0,434553,568360,0,20396,0,0,0
2012-12-01,2877065,0,0,0,0,0,0,0,0,0,0,0,0,483892,576399,0,23777,0,0,0
2013-01-01,2991546,0,0,0,0,0,0,0,0,0,0,0,0,486612,853651,0,17944,0,393,0
2013-02-01,2962689,0,0,0,0,0,0,0,0,0,0,0,0,483526,798641,0,22919,0,394,0
2013-03-01,3167478,0,0,0,0,0,0,0,0,0,0,0,0,589386,555196,0,26436,0,374,0
