mes,COMUNICACION CELULAR S A COMCEL S A,COLOMBIA MOVIL  S.A ESP,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,VIRGIN MOBILE COLOMBIA S.A.S.,PARTNERS TELECOM COLOMBIA SAS,ALMACENES EXITO INVERSIONES S.A.S.,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,LOGISTICA FLASH COLOMBIA S.A.S,AVANTEL S.A.S,SUMA MOVIL S.A.S.,LOV TELECOMUNICACIONES SAS,SETROC MOBILE GROUP SAS,CELLVOZ COLOMBIA SERVICIOS INTEGRALES S A E S P,COLOMBIA MOVIL S.A. E.S.P.,COLOMBIA TELECOMUNICACIONES S.A. ESP,AVANTEL S.A.S.,UFF MOVIL SAS,UNE EPM TELECOMUNICACIONES S.A.,UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.,EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.
2013-04-01,3229228,0,0,5763,0,0,0,0,0,0,0,0,0,586159,939488,0,29181,0,417,0
2013-05-01,3501899,0,0,17674,0,0,0,0,0,0,0,0,0,314766,969462,0,29290,0,425,0
2013-06-01,3526693,0,0,21622,0,0,0,0,0,0,0,0,0,290245,993037,0,27063,0,408,0
2013-07-01,3663383,0,0,29442,0,0,0,0,0,0,0,0,0,649144,1009547,0,28361,0,1631,0
2013-08-01,3823420,0,0,37396,0,0,0,0,0,0,0,0,0,665725,752055,0,21874,0,1666,0
2013-09-01,3883401,0,0,45146,0,58740,0,0,0,0,0,0,0,647128,1073812,0,27359,0,2940,0
2013-10-01,4153368,0,0,55387,0,0,0,0,0,0,0,0,0,462714,1108453,0,29991,0,354,0
2013-11-01,4150792,0,0,96626,0,0,0,0,0,0,0,0,0,700840,1141193,0,18516,0,3225,0
2013-12-01,4894287,0,0,116978,0,3915,0,0,0,0,0,0,0,793664,1177460,0,10891,0,3998,0
2014-01-01,4892036,0,0,133213,0,0,0,0,0,0,0,0,0,801478,1220778,0,14524,0,4421,0
2014-02-01,4798260,0,0,145426,0,0,0,0,0,0,0,0,0,822665,1261557,0,31462,0,5246,0
2014-03-01,5788334,0,0,168,0,9289,0,0,0,0,0,0,0,867592,1248741,0,35724,0,5842,0
2014-04-01,6761408,0,0,185472,0,0,0,0,0,0,0,0,0,698991,767678,0,33031,0,6580,0
2014-05-01,7167335,0,0,221512,0,0,0,0,0,0,0,0,0,964886,1383446,0,34082,0,7303,0
2014-06-01,7195460,0,0,259718,0,57065,0,0,0,0,0,0,0,998493,1419068,0,16990,0,8052,0
2014-07-01,7685390,0,0,308433,0,0,0,0,0,0,0,0,0,811543,1137276,0,34216,0,9528,0
2014-08-01,7901240,0,0,335358,0,0,0,0,0,0,0,0,0,1128812,1484198,8,33011,0,10474,0
2014-09-01,7974622,0,0,355159,0,54492,0,0,0,0,0,0,0,1178287,1546359,309,6928,0,11971,0
2014-10-01,8264082,0,0,393953,0,0,0,0,0,0,0,0,0,1164008,506675,588,33637,0,109,0
2014-11-01,8173143,0,0,404834,0,0,0,0,0,0,0,0,0,1151979,1581914,9960,34079,0,110,0
2014-12-01,8893032,0,0,448,0,91009,0,0,0,0,0,0,0,1382994,1670771,7828,38756,0,19846,2968
2015-01-01,6830224,0,0,462428,0,53275,0,0,0,0,0,0,0,1438037,1722672,5817,37114,0,20018,6569
2015-02-01,5074621,0,0,462723,0,70513,0,0,0,0,0,0,0,1310990,533264,5364,36619,0,334,10667
2015-03-01,6363937,0,0,486799,0,82,0,0,0,0,0,0,0,1418563,1761233,7128,38846,0,20128,18536
2015-04-01,6879899,0,0,517897,0,45132,0,0,0,0,0,0,0,1336114,778868,9444,21887,0,19949,31541
2015-05-01,6608615,0,0,611844,0,64177,0,0,0,0,0,0,0,1588631,1821658,13188,34083,0,19932,40209
2015-06-01,6615712,0,0,765561,0,87674,0,0,0,0,0,0,0,1634578,1874564,20715,32925,0,19895,9893
2015-07-01,7719029,0,0,828883,0,69663,0,0,0,0,0,0,0,1739345,1877034,27360,32783,0,19859,56063
2015-08-01,7608330,0,0,840276,0,114372,0,0,0,0,0,0,0,1731858,1936298,33232,32742,0,19849,49506
2015-09-01,7679216,0,0,848846,0,138497,0,0,0,0,0,0,0,1696276,1497831,38740,14776,0,19832,13840
2015-10-01,8850112,0,0,831632,0,98693,0,0,0,0,0,0,0,1767720,1985862,46163,32062,0,19770,76205
2015-11-01,8250398,0,0,843237,0,138751,0,0,0,0,0,0,0,1717732,1996791,51912,29819,0,19745,75829
2015-12-01,8683995,0,0,892011,0,190867,0,0,0,0,0,0,0,1839070,2063074,60109,30566,0,19698,59229
2016-01-01,8445916,0,0,698172,0,107784,0,0,0,0,0,0,0,1614483,1956991,65487,27974,0,19646,77754
2016-02-01,7897568,0,0,676436,0,134223,0,0,0,0,0,0,0,1729074,1915523,69602,25890,0,19638,73503
2016-03-01,8039616,0,0,698172,0,141562,0,0,0,0,0,0,0,1886410,2021559,78991,25589,0,19605,22939
2016-04-01,7822385,0,0,471877,0,137496,0,0,0,0,0,0,0,1812876,1841519,85916,25018,0,93,21604
2016-05-01,7754713,0,0,487973,0,122614,0,0,0,0,0,0,0,1669615,2042985,96062,24236,0,90,69310
2016-06-01,7892606,0,0,12662,0,132072,0,0,0,0,0,0,0,1888080,2049869,104744,22819,0,8776,69351
2016-07-01,8082224,0,0,540413,0,137,0,0,0,0,0,0,0,1902191,1937546,117502,9576,0,8771,73819
2016-08-01,7840859,0,0,554310,0,159574,0,0,0,0,0,0,0,1801471,1973519,125627,9187,0,8753,80612
2016-09-01,7281849,0,0,524405,0,162826,0,0,0,0,0,0,0,1316365,2140561,133116,21322,0,7601,115311
2016-10-01,7877794,0,0,632640,0,190016,0,0,0,0,0,0,0,1770252,1940850,148046,21036,0,7592,55755
2016-11-01,7847541,0,0,629,0,187768,0,0,0,0,0,0,0,1736320,1843793,150887,18543,0,39,61761
2016-12-01,8619856,0,0,680370,0,213527,0,0,0,0,0,0,0,1913520,2039912,170636,21717,0,15,157177
2017-01-01,7723825,0,0,686284,0,209,0,0,0,0,0,0,0,1856248,2086981,174710,17617,0,13,164428
2017-02-01,7810064,0,0,581788,0,200033,0,0,0,0,0,0,0,1075033,1931285,169765,15710,0,11,172204
2017-03-01,8032270,0,0,88354,0,224228,0,0,0,0,0,0,0,1653842,2153816,595,7876,0,10,163372
2017-04-01,7980528,1680901,2186406,609625,0,220006,141616,0,211066,0,0,0,0,0,0,0,15827,9,0,0
2017-05-01,8067517,1707207,2259880,643977,0,220887,161689,0,225593,0,0,0,0,0,0,0,15767,9,0,0
2017-06-01,8192289,1724990,2315097,639503,0,224657,173611,0,238816,0,0,0,0,0,0,0,15328,7,0,0
2017-07-01,8220601,1771106,2387075,623097,0,248115,181492,0,255866,0,0,0,0,0,0,0,14895,0,0,0
2017-08-01,8230929,1742286,2411626,620577,0,244086,181344,0,267749,0,0,0,0,0,0,0,14412,0,0,0
2017-09-01,8236983,1730931,2396210,607438,0,235141,178639,0,276671,0,0,0,0,0,0,0,14313,0,0,0
2017-10-01,8420350,1784497,2461902,577587,0,241007,180382,0,287819,0,0,0,0,0,0,0,13716,0,0,0
2017-11-01,8495308,1786763,2487562,611293,0,271864,181485,0,296836,0,0,0,0,0,0,0,13304,0,0,0
2017-12-01,8984765,1980155,2689513,661671,0,344866,186661,0,316824,0,0,0,0,0,0,0,13488,0,0,0
2018-01-01,8846672,2021844,2746104,486852,0,281101,187611,0,315083,0,0,0,0,0,0,0,12602,0,0,0
2018-02-01,8383906,1963741,2640010,487060,0,255163,189596,0,327460,0,0,0,0,0,0,0,11418,0,0,0
2018-03-01,8614886,2106123,2717553,484096,0,292303,190190,0,352990,409,0,0,0,0,0,0,11640,0,0,0
2018-04-01,8390069,2035149,2726796,482597,0,290934,190512,0,354606,556,0,0,0,0,0,0,10899,0,0,0
2018-05-01,8447648,2068117,2769045,480836,0,303680,192110,0,370211,537,0,0,0,0,0,0,9840,0,0,0
2018-06-01,8208272,2099439,2751291,470476,0,312337,192710,0,370587,507,0,0,0,0,0,0,9635,0,0,0
2018-07-01,8132628,2119771,2803518,467743,0,287589,194262,0,374104,341,0,0,0,0,0,0,0,0,0,0
2018-08-01,7965826,2142638,2783242,466749,0,297529,192446,0,384485,444,0,0,0,0,0,0,0,0,0,0
2018-09-01,8037770,2129808,2784188,461970,0,287134,184534,246456,388191,464,0,0,0,0,0,0,0,0,0,0
2018-10-01,7751988,2254266,2843097,456546,0,166408,177745,362079,403064,763,0,0,0,0,0,0,0,0,0,0
2018-11-01,7872432,2293045,2848893,434917,0,156851,169570,442586,409813,843,0,0,0,0,0,0,0,0,0,0
2018-12-01,8596226,2593419,2865532,414797,0,185967,165657,462613,415029,805,0,0,0,0,0,0,0,0,0,0
2019-01-01,8467411,2474601,2814036,342374,0,175198,160865,459905,433446,732,0,0,0,0,0,0,0,0,0,0
2019-02-01,7942680,2326160,2854268,393584,0,233392,155821,445903,425536,848,0,0,0,0,0,0,0,0,0,0
2019-03-01,9292370,2401087,2882346,406661,0,285925,155459,459234,428076,850,0,0,0,0,0,0,0,0,0,0
2019-04-01,8197970,2400754,2893441,387225,0,269961,154170,448073,417276,799,0,0,0,0,0,0,0,0,0,0
2019-05-01,8428125,2391026,2905734,381884,0,179896,154853,440986,415524,804,0,0,0,0,0,0,0,0,0,0
2019-06-01,8723014,2409682,2930190,357489,0,177063,151544,424682,404447,786,0,0,0,0,0,0,0,0,0,0
2019-07-01,9348046,2439894,2961738,396006,0,179920,150392,393068,397831,838,0,0,0,0,0,0,0,0,0,0
2019-08-01,9160177,2467654,2989532,434607,0,171381,148794,345567,407937,829,0,0,0,0,0,0,0,0,0,0
2019-09-01,9251081,2666863,3016450,488177,0,179656,146659,329874,403364,815,0,0,0,0,0,0,0,0,0,0
2019-10-01,9692278,2854757,3044681,508169,0,195564,148658,242959,387312,1924,0,0,0,0,0,0,0,0,0,0
2019-11-01,9701919,2909571,3066775,549347,0,191559,145356,229305,345903,2770,0,0,0,0,0,0,0,0,0,0
2019-12-01,10494358,3176457,3097170,594543,0,229478,144980,208542,332970,4023,0,0,0,0,0,0,0,0,0,0
2020-01-01,10283813,3150015,3125009,615656,0,216749,140237,192155,315845,3086,0,0,0,0,0,0,0,0,0,0
2020-02-01,9754113,3024667,3132703,656844,0,209667,137688,177748,303214,2291,0,0,0,0,0,0,0,0,0,0
2020-03-01,9498646,2935418,3093380,712119,0,198812,136507,169017,289952,1856,0,0,0,0,0,0,0,0,0,0
2020-04-01,8248408,2349526,2726605,518558,0,145466,126374,151798,239950,1314,0,0,0,0,0,0,0,0,0,0
2020-05-01,9697523,2517023,2951182,589814,0,169995,132115,160400,247530,3091,0,0,0,0,0,0,0,0,0,0
2020-06-01,9602014,2732877,3016271,629783,0,182718,127093,159132,256379,3391,0,0,0,0,0,0,0,0,0,0
2020-07-01,9414017,2835562,3108920,616024,0,176231,123572,152561,271300,3379,0,0,0,0,0,0,0,0,0,0
2020-08-01,9321028,2852531,3095413,606377,0,168970,119977,145270,272777,3493,0,0,0,0,0,0,0,0,0,0
2020-09-01,9726363,2984654,3163049,634743,0,181479,123306,140146,279530,3559,0,0,0,0,0,0,0,0,0,0
2020-10-01,10045232,3116586,3223323,626286,0,195970,120257,136431,291968,3603,0,5770,0,0,0,0,0,0,0,0
2020-11-01,10023962,3184004,3237409,637107,0,193173,119907,129368,298987,3534,0,8238,0,0,0,0,0,0,0,0
2020-12-01,10704747,3429207,3363120,664077,0,217647,116008,124887,318054,3410,0,11651,0,0,0,0,0,0,0,0
2021-01-01,10301992,3332123,3291873,635183,0,199169,115116,116283,324784,3280,0,15452,0,0,0,0,0,0,0,0
2021-02-01,10078978,3265884,3275983,625717,0,196403,115489,111517,311219,3297,0,19496,0,0,0,0,0,0,0,0
2021-03-01,10586361,3395274,3360920,644710,0,217539,110098,109966,336882,3282,0,24142,0,0,0,0,0,0,0,0
2021-04-01,10951809,3262346,3289904,617681,46247,210661,103515,103879,293153,3228,0,29994,0,0,0,0,0,0,0,0
2021-05-01,10367992,3347602,3288525,630904,116841,220451,104024,99582,283288,3127,0,36046,0,0,0,0,0,0,0,0
2021-06-01,10592160,3460453,3352398,651278,226647,236221,99857,95350,268414,3445,0,40181,0,0,0,0,0,0,0,0
2021-07-01,11100116,3837161,3438824,658672,327209,252553,99674,92121,261018,3830,0,13391,0,0,0,0,0,0,0,0
2021-08-01,11152505,3871513,3471700,662902,404360,246167,95012,89261,231159,4423,0,13381,0,0,0,0,0,0,0,0
2021-09-01,11286704,3522074,3467950,659576,458409,244232,89837,85643,164313,5204,0,13138,0,0,0,0,0,0,0,0
2021-10-01,11247623,3940555,3467790,665615,474611,255603,86372,82176,136407,7000,0,5953,0,0,0,0,0,0,0,0
2021-11-01,11007847,3997202,3426902,663855,503493,316713,84925,78259,107990,7237,0,4054,0,0,0,0,0,0,0,0
2021-12-01,11863210,4296395,3554556,678613,551366,352898,77646,76634,101375,7679,0,2847,0,0,0,0,0,0,0,0
2022-01-01,11255379,4152192,3508230,664851,550026,341771,53889,73260,92756,7662,624,3740,0,0,0,0,0,0,0,0
2022-02-01,11167205,4080549,3455289,629887,566243,337748,74379,69942,84006,8586,835,2479,0,0,0,0,0,0,0,0
2022-03-01,11136168,4222767,3546048,632832,513359,352978,74204,68996,78819,9059,1038,3281,0,0,0,0,0,0,0,0
2022-04-01,10933702,3897573,3517709,620990,572704,349061,65676,66651,70676,9616,1279,1655,176,0,0,0,0,0,0,0
2022-05-01,11128616,3907685,3548456,633434,566404,365823,68811,65499,61541,10157,1373,559,149,0,0,0,0,0,0,0
2022-06-01,11066112,3860457,3532598,609448,565461,355935,67797,63791,54517,10121,1392,199,129,0,0,0,0,0,0,0
