ID_EMPRESA,accesos_2022,porcentaje,porcentaje_cumulativo
COMUNICACION CELULAR S A COMCEL S A,3242542,0.3822588903070893,0.3822588903070893
UNE EPM TELECOMUNICACIONES S.A.,1776438,0.20942187289458244,0.5916807632016717
COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,1230778,0.14509475358973878,0.7367755167914105
EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,684980,0.08075136565156289,0.8175268824429734
DIRECTV COLOMBIA LTDA,158141,0.01864302857821222,0.8361699110211857
EDATEL S.A.,152522,0.01798061226883657,0.8541505232900222
H V TELEVISION S.A.S.,107767,0.012704505857356387,0.8668550291473786
EMPRESAS MUNICIPALES DE CALI EICE E.S.P,100706,0.011872094118523595,0.8787271232659022
DIALNET DE COLOMBIA S.A   ESP.,60674,0.007152775788406854,0.8858798990543091
LEGON TELECOMUNICACIONES S.A.S.,57560,0.006785670540605507,0.8926655695949146
RURALINK S.A.S,41083,0.00484321929846588,0.8975087888933805
COLOMBIA MAS TV SAS,33925,0.0039993723608415886,0.9015081612542221
HUGHES DE COLOMBIA S.A.S.,33828,0.003987937162050088,0.9054960984162721
CONEXION DIGITAL EXPRESS SAS,21156,0.0024940522230203284,0.9079901506392924
EME S.A.,20934,0.002467880943311947,0.9104580315826044
CELSIA COLOMBIA S.A. E.S.P.,20839,0.002456681521815117,0.9129147131044195
AZTECA COMUNICACIONES COLOMBIA S.A.S,18226,0.0021486384863286306,0.9150633515907481
CABLEMAS S.A.S,17427,0.002054445457107925,0.9171177970478561
FIESTA TELECOMUNICACIONES SAS,17093,0.002015070648898018,0.9191328676967542
CONEXIONES TECNOLOGICAS Y COMUNICACION SAS,15632,0.0018428353351415095,0.9209757030318957
TV SANV SAS,14292,0.0016848645477125417,0.9226605675796082
INSITEL S.A.S.,13851,0.0016328756542377844,0.924293443233846
SUPERREDES SAS,12404,0.0014622907815439665,0.9257557340153899
SP SISTEMAS PALACIOS LTDA.,12056,0.0014212655322713688,0.9271769995476613
SISTEMAS AVANZADOS EN TELECOMUNICACIONES S.A.S,11776,0.0013882567110175548,0.9285652562586788
