P1929,AMAZONAS,ANTIOQUIA,ARAUCA,ATLANTICO,BOGOTA,BOLIVAR,BOYACA,CALDAS,CAQUETA,CASANARE,CAUCA,CESAR,CHOCO,CORDOBA,CUNDINAMARCA,GUAINIA,GUAVIARE,HUILA,LA GUAJIRA,MAGDALENA,META,N. DE SANTANDER,NARIÑO,PUTUMAYO,QUINDIO,RISARALDA,SAN ANDRES,SANTANDER,SUCRE,TOLIMA,VALLE DEL CAUCA,VAUPES,VICHADA
Es muy costoso,0.20529,0.25914,0.23565,0.39155,0.26112,0.37041,0.17722,0.19618,0.23553,0.23731,0.23084,0.43394,0.15613,0.26388,0.23902,0.20269,0.22592,0.18324,0.19772,0.26396,0.25699,0.21938,0.22755,0.20313,0.34708,0.18612,0.14617,0.22868,0.33718,0.20026,0.24079,0.07548,0.14749
No lo considera necesario,0.35405,0.21696,0.29315,0.25344,0.27534,0.18715,0.33635,0.23564,0.27148,0.24848,0.29917,0.17137,0.19634,0.19232,0.23864,0.17038,0.17937,0.31034,0.25516,0.26198,0.27133,0.36997,0.24165,0.31319,0.22278,0.28436,0.24957,0.30747,0.29280,0.27810,0.29195,0.14453,0.13467
No sabe usarlo,0.20180,0.38976,0.31327,0.28774,0.37589,0.31109,0.43990,0.49057,0.33672,0.34630,0.38277,0.28970,0.35090,0.48239,0.42134,0.37522,0.30819,0.42117,0.23625,0.39970,0.35800,0.33164,0.44492,0.28748,0.35221,0.43396,0.47701,0.39912,0.28654,0.41394,0.38651,0.34038,0.18188
No hay cobertura del servicio en la zona,0.19014,0.05074,0.06953,0.00504,0.02560,0.08681,0.02473,0.01863,0.08130,0.08784,0.05348,0.05983,0.23308,0.02822,0.01949,0.23570,0.21901,0.04009,0.27051,0.03848,0.04263,0.03513,0.06176,0.13897,0.00672,0.02051,0.00164,0.03277,0.02060,0.05894,0.00574,0.43020,0.51997
No le tienen permitido usar internet,0.03887,0.04690,0.08207,0.03075,0.03542,0.03318,0.01760,0.04394,0.06746,0.07180,0.02734,0.03391,0.05534,0.03079,0.05938,0.01114,0.06148,0.03776,0.02983,0.02583,0.05604,0.03800,0.01906,0.04756,0.05770,0.04710,0.11475,0.01936,0.03813,0.03299,0.03629,0.00702,0.01370
Por razones de seguridad o privacidad,0.00212,0.00461,0.00412,0.00883,0.01677,0.00152,0.00167,0.00615,0.00133,0.00346,0.00302,0.00507,0.00415,0.00110,0.00729,0.00140,0.00021,0.00309,0.00124,,0.00606,0.00114,0.00178,0.00225,0.00436,0.00530,0.00267,0.00223,0.00339,0.00455,0.00226,0.00176,0.00022
Otra,0.00774,0.03189,0.00222,0.02265,0.00986,0.00982,0.00251,0.00889,0.00618,0.00481,0.00337,0.00618,0.00405,0.00131,0.01483,0.00347,0.00582,0.00431,0.00929,0.01005,0.00896,0.00474,0.00329,0.00743,0.00915,0.02265,0.00820,0.01037,0.02137,0.01123,0.03645,0.00064,0.00207
