,Cabecera,Rural,Rural_menos_Cabecera
Teléfono celular,0.95473,0.95965,0.00492
Otro,0.00001,0.00003,0.00002
"Reproductores digitales de música, video e imagen",0.00956,0.00067,-0.00889
Consolas para juegos electrónicos,0.01224,0.00108,-0.01116
Tableta,0.03852,0.01546,-0.02306
Televisor inteligente,0.09718,0.00974,-0.08745
Computador de escritorio,0.22799,0.09777,-0.13022
Computador portatil,0.27700,0.09853,-0.17847
